"","acc","pen","comptimes"
"1",0.171222053229895,0.000739890431130379,37.903
"2",0.173865909584957,0.000918354437200581,38.822
"3",0.133983636353875,0.000901107671831816,43.186
"4",0.102197527705972,0.000878760992447731,42.173
"5",0.141496254289801,0.000719083358921311,42.578
"6",0.145292259352012,0.000735850294418978,40.72
"7",0.21043339159238,0.000757579131274032,41.425
"8",0.248417467245822,0.000652618088592039,43.985
"9",0.228310298975123,0.000826839168604041,41.946
"10",0.270258887477625,0.000831876066143482,44.685
"11",0.318633800288415,0.00101602956891181,41.582
"12",0.240040550728722,0.000883855411778591,40.936
"13",0.164837985559206,0.000855842923589098,42.351
"14",0.169519210173652,0.000877094419095466,40.6049999999999
"15",0.184208056903675,0.000656289468623724,42.011
"16",0.0693847975378262,0.00086200393395123,39.784
"17",0.0896773204673718,0.000688512595626866,45.993
"18",-0.00512612880792694,0.00103286570314823,44.219
"19",0.0268952228875973,0.00104335741501794,44.315
"20",0.309772983993402,0.000769788986003614,45.856
"21",0.124045275019061,0.000760170078358677,45.485
"22",0.14137340394354,0.000891788253759108,40.696
"23",0.142789332564666,0.000880137210811492,41.113
"24",0.191718946527884,0.000727707286413142,43.049
"25",0.216610133126762,0.000910288358161589,41.217
"26",0.240486134230308,0.000830203408779738,44.975
"27",0.256141763432861,0.000789359347454018,38.133
"28",0.227935669554044,0.000781953937664951,40.148
"29",0.141799548214056,0.000829979503147191,40.431
"30",0.217566796308922,0.000786053795907138,40.952
"31",0.107018000512892,0.000720410546890692,44.924
"32",0.0977775183173641,0.00075792320726383,45.668
"33",0.0874698866609851,0.000746697698258294,44.17
"34",0.121487611031198,0.000733551097066724,44.772
"35",0.276789581978108,0.000854439918670852,43.814
"36",0.149900500774032,0.000875590611597556,38.701
"37",0.123258405249668,0.000937668496250667,44.379
"38",0.0896516428799372,0.000774797795128326,41.12
"39",0.335061279749984,0.000892306622950542,39.572
"40",0.191395048178816,0.000716014985611956,40.007
"41",0.248474643681423,0.000799988887474681,38.1729999999999
"42",0.174901359350283,0.00108124248053884,41.258
"43",0.286498521855769,0.000850590489572127,38.878
"44",0.115249886336256,0.000846151501274774,41.115
"45",0.0790283134833931,0.000835759046181574,48.474
"46",0.244043840184688,0.00084172493077807,48.609
"47",0.1348836038938,0.000840679287308335,46.346
"48",0.260821103743365,0.00090933185304877,41.555
"49",0.150485509176401,0.000752854632920446,45.684
"50",0.047304146431345,0.000910854313290412,42.418
"51",0.122619157073971,0.000740234374357891,46.88
"52",0.335675057881109,0.00102854973041646,41.184
"53",0.103157593434169,0.000937191442703664,45.839
"54",0.192976421683327,0.000954923187328903,43.6199999999999
"55",0.135525425274746,0.000740730611182489,40.7170000000001
"56",0.239960408734337,0.000731261164084396,34.768
"57",0.211629807508462,0.000830459803925428,38.314
"58",0.347233411625598,0.000659191498422034,47.024
"59",0.308097938744823,0.000831958210525494,46.718
"60",0.350636496716276,0.000850446048691498,47.128
"61",0.108008814862113,0.000733685626051378,42.25
"62",0.170236866224554,0.000807332531361783,46.269
"63",0.0601830384054289,0.00078731204266339,44.682
"64",0.198403983874928,0.00069491038612983,47.648
"65",0.0892525117296259,0.000949836002626181,46.846
"66",0.10616344491027,0.000783249486475497,46.365
"67",0.136255684647907,0.00078062104765711,45.485
"68",0.190701491310479,0.000889995930265053,44.652
"69",0.166748923317497,0.000706140819405669,41.827
"70",0.253664161759601,0.000750619763129353,28.874
"71",0.0797465125020009,0.000922718847425211,36.18
"72",0.168131636934053,0.00059376125114954,42.681
"73",0.131318637340157,0.000644946373668202,44.598
"74",0.262366218294071,0.000784443663924934,45.838
"75",0.206254579258724,0.000836046294697205,50.443
"76",0.0734309716745884,0.000650459639536506,48.86
"77",0.293568578675449,0.000905723577473941,43.864
"78",0.232672735036628,0.000748540498861958,45.745
"79",0.191449849951347,0.000904893181153052,42.356
"80",0.357255830731621,0.000877292332219652,44.112
"81",0.231580567415402,0.000795371517467809,42.128
"82",0.140399407654097,0.00116223487935948,43.842
"83",0.320449075606278,0.000808480003787267,46.09
"84",0.0742142413896468,0.000906891203465704,33.3810000000001
"85",0.109864080274013,0.0010170365199332,37.7
"86",0.161433821436856,0.000744969725059364,41.063
"87",0.02888410085929,0.000834516776538616,45.737
"88",0.076336991802376,0.000628061530214694,48.069
"89",0.228786635873894,0.000779143079722813,45.287
"90",0.222021895282096,0.000520671541705037,48.387
"91",0.313319177550457,0.000825318333324122,44.709
"92",0.273331325646075,0.00104273508787657,42.825
"93",0.236420915781385,0.000888077416914869,43.589
"94",0.0435077200656879,0.000797355450745521,41.974
"95",0.174989554796089,0.000921125398995833,44.114
"96",0.0581482848529728,0.00102092700230457,44.1609999999999
"97",0.171128241066338,0.000771506521663208,43.2470000000001
"98",0.161727621212892,0.00114855353338012,37.556
"99",0.265982225508715,0.000766664305393825,39.156
"100",0.145088891629067,0.000900236990040961,38.417
"101",0.235458283100205,0.000960306942265005,43.667
"102",0.224366028401146,0.000847620746136686,45.572
"103",0.0325364855618617,0.000840047174575234,42.684
"104",0.318796865799063,0.000831964069980122,44.967
"105",0.247111092470483,0.000767654230297966,44.688
"106",0.175118293447097,0.000669160956447029,46.168
"107",0.103836631706045,0.000692515652197116,43.832
"108",0.237916064565996,0.000746976306077567,45.53
"109",0.251453571238512,0.000733223950044475,44.934
"110",0.172790385238898,0.000644183434561365,47.781
"111",0.29820243856857,0.000789901559474018,42.044
"112",0.194369407014489,0.000824849987039919,39.606
"113",0.298565577160234,0.00103494538665671,39.125
"114",0.0531711041848999,0.000979944043605913,42.85
"115",0.221678680365403,0.000755376121952883,45.182
"116",0.169718241780165,0.000835903516747447,44.703
"117",0.168064892543227,0.000912078726979215,42.554
"118",0.162149259611258,0.000841433296105072,49.234
"119",0.138183054589257,0.000914836590676104,41.142
"120",0.155200463338707,0.000714708314375299,46.801
"121",0.186844255597203,0.000760870518452618,44.984
"122",0.140764839414367,0.000654173255065844,49.504
"123",0.0882217536181116,0.000810779607864859,48.069
"124",0.170964970220608,0.00065611260328676,46.412
"125",0.104318555284755,0.000711174978586588,44.7810000000001
"126",0.179395540481887,0.000917233516509814,27.3819999999999
"127",0.0700074924939108,0.000885083483976576,36.146
"128",0.234533987629318,0.000605690751461648,43.283
"129",0.159605183908296,0.000608622531603731,50.426
"130",0.208917795220897,0.000630452570192186,45.517
"131",0.115209889820054,0.000741835329523648,42.638
"132",0.196998846478213,0.000849499790731529,46.275
"133",0.132138668793781,0.000873555120931485,43.673
"134",0.211596240031523,0.00104692437067617,41.855
"135",0.134522462287811,0.00067651614871498,45.602
"136",0.0942524671753303,0.000724492971526441,43.703
"137",0.32269390970621,0.00108064877890777,43.992
"138",0.125531580403835,0.000800183545954221,42.05
"139",0.19296057048083,0.000916154275290644,41.1130000000001
"140",0.247831385535763,0.000782454308612986,40.3440000000001
"141",0.156337626967041,0.000799382028008258,37.324
"142",0.147114679965506,0.000981297632400667,35.802
"143",0.201685631207358,0.000978281371986282,43.323
"144",-0.020276791980033,0.000910930371700868,43.503
"145",0.302987013722507,0.00092498451321259,43.669
"146",0.0721402856404307,0.00069128926999271,49.871
"147",0.0912984432038564,0.000705122722334323,49.638
"148",0.279831739681825,0.000706202664589595,50.234
"149",0.122106479461043,0.000753472847064994,44.411
"150",0.193103364822609,0.000987407250952678,44.141
"151",0.278233273444899,0.000746601752961203,47.577
"152",0.25319945027156,0.00112499899356061,44.5119999999999
"153",0.373115720377206,0.000725063226825165,41.624
