"","acc","acc.RC","penG","penE","subset","comptimes"
"1",0.217445001108111,0.220683497699019,0.00160149991764778,1.9221280878848e-06,"F1-F2-F3-F4-F6-F7-F8",6.191
"2",0.161858235074832,0.137831483932223,0.00166340303609636,6.37055369312426e-06,"F3-F4-F6-F7-F8",3.734
"3",0.148863690112521,0.116979555193691,0.00175413956520016,4.28234938760532e-05,"F1-F3-F4-F5-F6",3.503
"4",0.162456292849541,0.211944581861428,0.00186502802326959,6.64559994033711e-06,"F1-F3-F4-F5-F6-F7",4.837
"5",0.269994290643561,0.236118237283824,0.00161588836730021,5.36150082899763e-06,"F3-F4-F5-F6-F7-F8",4.535
"6",0.233347395574023,0.322321734523594,0.00185758346302319,3.00004405796777e-06,"F2-F3-F4-F5-F8",4.151
"7",0.274756343549955,0.275292904673172,0.00201657787843693,2.50687406255574e-06,"F2-F3-F4-F5-F6",4.105
"8",0.290283511861062,0.311183515913073,0.00199749049674013,2.34817556152368e-06,"F3-F4-F5-F6-F7",3.52200000000001
"9",0.304593712091158,0.310659768562092,0.00185987266737732,5.08487772434664e-06,"F1-F3-F4-F5",3.333
"10",0.259675846824278,0.246289055801516,0.00221435760742202,2.69885005751513e-06,"F1-F2-F3-F4-F5-F6-F7",5.276
"11",0.332319752754863,0.272330115581657,0.00174311988927234,1.48135371269823e-06,"F1-F2-F3-F4-F5",4.51700000000001
"12",0.298660395468123,0.268173900559966,0.00215449065999689,2.97543013524281e-05,"F1-F2-F4-F5-F6-F7",4.71599999999999
"13",0.17976677666756,0.190782301118983,0.00194610578298477,3.60900698533121e-06,"F3-F4-F5-F7",3.699
"14",0.230557201075143,0.283652653936694,0.00177333947269976,6.26488375547267e-06,"F3-F4-F5-F7",3.56399999999999
"15",0.297366958142687,0.338320296268217,0.00177865076689291,1.87141468291297e-06,"F2-F3-F4-F5",4.51499999999999
"16",0.177614058029503,0.245827496680099,0.00178911287403432,1.00187853866173e-05,"F1-F2-F3-F4-F6-F7",3.87799999999999
"17",0.218863205462391,0.183090099477591,0.00159378078387767,3.58743474257802e-06,"F3-F4-F5-F6",3.48500000000001
"18",0.199765500231102,0.230392890691603,0.00198025282116512,2.3058099898572e-06,"F3-F4-F5",3.577
"19",0.177428277728071,0.197535438644888,0.00179216938760314,7.66693710555498e-06,"F1-F3-F4-F5",4.05600000000001
"20",0.400375285290873,0.363350611438448,0.00174876720337897,5.24027698533811e-06,"F1-F2-F3-F4-F6",4.07300000000001
"21",0.33133420054088,0.329861061834798,0.00150282395314576,0.000100769518811145,"F2-F3-F4-F5",3.77900000000002
"22",0.256023320485574,0.267535065018683,0.00180574202799881,2.3272279375215e-06,"F1-F2-F3-F4-F5-F6-F7",4.94
"23",0.309250737782891,0.317408493676743,0.00191595509057991,4.68111813439928e-05,"F3-F4-F5-F6",3.63600000000002
"24",0.248222157005245,0.252409169220819,0.00169446688439354,7.1905353056892e-06,"F1-F3-F4-F5",4.32900000000001
"25",0.24392842526915,0.237816506516557,0.00212037513288276,6.83762352746111e-06,"F2-F3-F4-F5-F6-F7",5.14799999999997
"26",0.213982969068748,0.184195375321281,0.00200573216253199,3.88121552347839e-06,"F3-F4-F5-F6-F7",4.06700000000001
"27",0.313011710052002,0.277520331449579,0.0015519500253037,6.5438993843641e-05,"F1-F2-F3-F4-F5-F6-F7-F8",5.536
"28",0.272225590848584,0.262061100151506,0.00216655635562203,2.52616687666966e-06,"F1-F3-F4-F5-F6-F7",3.91000000000003
"29",0.182781010916269,0.160960461529024,0.00170218908567426,4.06580377098301e-06,"F3-F4-F5-F6",3.81999999999999
"30",0.270106040501514,0.205931723679975,0.00157893341813309,9.04183226399731e-06,"F1-F2-F3-F4-F5-F7",5.07899999999995
"31",0.237757653745717,0.240247924130258,0.0016450023588118,6.97292116333199e-06,"F2-F3-F4-F5",3.68099999999998
"32",0.25919820453866,0.328201384968539,0.00200442212096985,8.79351348782245e-06,"F3-F4-F5",3.99299999999999
"33",0.184634119068783,0.237693987623657,0.00212836097170441,3.32405142682579e-06,"F1-F2-F3-F4-F7",3.86500000000001
