"","X","acc","comptimes","pen"
"1",1,0.847130257540768,112.454999999958,0.468930932425876
"2",2,0.812280015463666,112.476000000024,0.492836189636222
"3",3,0.856176273114504,116.664999999979,0.472028879228995
"4",4,0.837140281784607,122.704000000027,0.47743780480138
"5",5,0.806451425983348,119.851000000024,0.472094255735594
"6",6,0.822835889913795,121.323000000033,0.477126944695212
"7",7,0.837388017667871,112.486999999965,0.486060343469316
"8",8,0.827831178058619,109.328999999969,0.493081322299158
"9",9,0.800234559674879,115.752000000037,0.471682393900678
"10",10,0.839608276485031,117.820999999996,0.482540219171691
"11",11,0.826192025500534,131.217999999993,0.486442580884147
"12",12,0.774248214164359,110.767999999982,0.495799072350905
"13",13,0.863505288762388,116.667000000016,0.472543406710166
"14",14,0.801510024161022,114.467999999993,0.482319635995786
"15",15,0.835754255118068,114.896000000008,0.479987995935724
"16",16,0.835784659925923,123.293000000005,0.487304161326854
"17",17,0.859873075832386,119.19299999997,0.470429974677729
"18",18,0.856914900212635,111.428000000014,0.495810678232264
"19",19,0.783067232221273,114.67300000001,0.498884496995539
"20",20,0.849484057936465,109.349999999977,0.476306541595316
"21",21,0.817679614848386,116.038,0.494389895443483
"22",22,0.882439902964775,116.664999999979,0.478343420666007
"23",23,0.856946525428454,117.528000000049,0.467122937039083
"24",24,0.842698047353701,121.139000000025,0.47657717448235
"25",25,0.845741031222119,118.402999999991,0.478888584221545
"26",26,0.821631082466574,107.487000000023,0.49117551194264
"27",27,0.882855588278724,111.955000000016,0.455160345719767
"28",28,0.816315153439979,138.629000000015,0.483376171569837
"29",29,0.87547231005376,128.063000000024,0.487411462232115
"30",30,0.86734176276486,107.548999999999,0.48494029893005
"31",31,0.903347891412685,125.835000000021,0.477323061940762
"32",32,0.857977698067113,113.445000000007,0.47695228376458
"33",33,0.818623751834302,106.885000000009,0.464859887979236
"34",34,0.849749033260648,111.169999999984,0.478843222956342
"35",35,0.814894178126611,112.560999999987,0.470918659850205
"36",36,0.846850321364407,113.40399999998,0.47767333712894
"37",37,0.79990388937815,123.245999999985,0.483877992042134
"38",38,0.849169327545756,116.168999999994,0.464538307737988
"39",39,0.831966543928935,114.102000000014,0.481418834326873
"40",40,0.821934722584845,114.98000000004,0.476876296971448
"41",41,0.85255454823199,138.937000000034,0.477545513796843
"42",42,0.874883145438043,119.392999999982,0.478894235556798
"43",43,0.757147135359322,120.233999999997,0.478206234955027
"44",44,0.855057874663389,124.291000000027,0.484108679857556
"45",45,0.845249516214622,113.786999999953,0.474500765581741
"46",46,0.860054707535428,123.302999999956,0.495004716738449
"47",47,0.845724647250508,123.156000000017,0.480727576115732
"48",48,0.796335864452238,118.733999999997,0.47590530261074
"49",49,0.816013643084078,128.573999999964,0.495666142757259
"50",50,0.875550090519277,110.150999999954,0.463115670567844
"51",1,0.819228094474834,126.864000000001,0.474666373961876
"52",2,0.840192777100632,114.995999999985,0.47686530572102
"53",3,0.845757651432475,116.103999999992,0.476310825768611
"54",4,0.841359760028371,122.919999999984,0.477691084553972
"55",5,0.812901482343906,123.600999999966,0.47811765404381
"56",6,0.839728518395499,119.400000000023,0.474671968666224
"57",7,0.842228890391246,116.690000000002,0.476915861851177
"58",8,0.909960876323441,109.289000000048,0.464757010466702
"59",9,0.824694407267085,106.228999999992,0.474243157692861
"60",10,0.820444668508166,109.823000000033,0.487757985559956
"61",11,0.838172401007722,115.433000000019,0.460157508264325
"62",12,0.835281165469788,137.673999999999,0.481071232425542
"63",13,0.78986009452736,111.308000000019,0.484397907395033
"64",14,0.854411637536541,113.227000000014,0.481348080094254
"65",15,0.853104835929238,116.82699999999,0.472266787019313
"66",16,0.812286336316665,122.40399999998,0.475096626965003
"67",17,0.815290953622586,114.187000000034,0.494997970956626
"68",18,0.849570338344631,117.849999999977,0.490276243653287
"69",19,0.825950918443433,138.647999999986,0.490960405875135
"70",20,0.807942349357402,120.408999999985,0.476707628732717
"71",21,0.842095004638932,127.434999999998,0.47270442897079
"72",22,0.847688562515961,137.753999999957,0.483149479444736
"73",23,0.875443022620504,119.828999999969,0.481505441632708
"74",24,0.854350160803098,108.763999999966,0.486439019276406
"75",25,0.859021914912304,112.662000000011,0.46648264692821
"76",26,0.847811901704449,111.825000000012,0.450512879092804
"77",27,0.835993659545672,122.335000000021,0.475233601360342
"78",28,0.810794806012135,116.95299999998,0.481626662188089
"79",29,0.839914425820741,121.385000000009,0.492847765134729
"80",30,0.825261549488326,128.654000000039,0.481753549294969
"81",31,0.86656648561121,134.871000000043,0.490613431034582
"82",32,0.836094397813554,127.214999999967,0.482527002303691
"83",33,0.831186828342738,115.090000000026,0.486713032027184
"84",34,0.801988431476458,111.973999999987,0.477961161747437
"85",35,0.785940244613228,119.076000000001,0.482842731217096
"86",36,0.863950980483559,123.591000000015,0.483413997470804
"87",37,0.866119129785939,114.801000000036,0.486917120385266
"88",38,0.866631566414425,109.519000000029,0.469923269648361
"89",39,0.816945276938662,115.293000000005,0.469999675558303
"90",40,0.82709916828148,114.358000000007,0.482153460082347
"91",41,0.847828961467656,122.678000000014,0.471421699430043
"92",42,0.827442565335756,110.298999999999,0.496516302502879
"93",43,0.860721255688576,114.548999999999,0.479960140777071
"94",44,0.890954837461056,118.195000000007,0.482240004421715
"95",45,0.792674901940781,116.091000000015,0.466574948474901
"96",46,0.860509027926176,110.016999999993,0.46577559450508
"97",47,0.825350173560875,115.625,0.489327955765621
"98",48,0.818196216951818,113.887999999977,0.49624226730974
"99",49,0.860165244291172,110.617000000027,0.456075572441829
"100",50,0.813943992488304,114.957000000053,0.478174900456245
