"","X","acc","comptimes","archs"
"1",1,0.213684256876036,60.3700000000026,"multiMLP_L8_N64_D0.1_CV2"
"2",2,0.249582509134399,58.2200000000012,"multiMLP_L8_N64_D0.1_CV2"
"3",3,0.197333555606049,65.8600000000006,"multiMLP_L8_N64_D0.1_CV2"
"4",4,0.218315585763075,64.4700000000012,"multiMLP_L8_N64_D0.1_CV2"
"5",5,0.237813907015196,62.4799999999996,"multiMLP_L8_N64_D0.1_CV2"
"6",6,0.090522171801931,60.3300000000017,"multiMLP_L8_N64_D0.1_CV2"
"7",7,0.188384061026731,61.1100000000006,"multiMLP_L8_N64_D0.1_CV2"
"8",8,0.0264027061313091,61.369999999999,"multiMLP_L8_N64_D0.1_CV2"
"9",9,0.132423790749331,61.4599999999991,"multiMLP_L8_N64_D0.1_CV2"
"10",10,0.147671775119489,62.6100000000006,"multiMLP_L8_N64_D0.1_CV2"
"11",1,0.111697608722935,59.0600000000013,"multiMLP_L4_N64_D0.3_CV2"
"12",2,0.184883856750677,57.4400000000023,"multiMLP_L8_N64_D0.1_CV2"
"13",3,0.0349257927561364,59,"multiMLP_L8_N64_D0.1_CV2"
"14",4,0.0880034342092193,58.6100000000006,"multiMLP_L8_N64_D0.1_CV2"
"15",5,0.0126082736636344,59.010000000002,"multiMLP_L8_N64_D0.1_CV2"
"16",6,0.132077977656646,56.6599999999999,"multiMLP_L8_N64_D0.1_CV2"
"17",7,0.126051056325967,61.25,"multiMLP_L8_N64_D0.1_CV2"
"18",8,0.19303539080684,56.9599999999991,"multiMLP_L8_N64_D0.1_CV2"
"19",9,0.189649717009896,58.9700000000012,"multiMLP_L8_N64_D0.1_CV2"
"20",10,0.0916578136673578,64.3900000000031,"multiMLP_L8_N64_D0.1_CV2"
