"","X","acc","comptimes"
"1",1,0.586784159586602,559.557000000001
"2",2,0.584981571543041,560.334000000003
"3",3,0.620388729329459,557.695000000007
"4",4,0.662342761248788,558.758999999991
"5",1,0.591424410492057,562.896999999997
"6",2,0.546996961576275,564.263000000006
"7",3,0.708825751641166,558.999000000011
"8",4,0.580586484215317,560.551999999996
"9",1,0.649223350416473,553.233999999997
"10",2,0.6128278256605,550.309999999998
"11",3,0.611670573558714,555.808000000005
"12",4,0.599758809830314,554.514999999999
"13",1,0.567327384151185,563.514999999999
"14",2,0.493874582241231,555.220000000001
"15",3,0.579758093649677,560.712
"16",4,0.605586214153383,559.866999999998
"17",1,0.626719843278956,557.702999999994
"18",2,0.659068707925795,556.968000000008
"19",3,0.680457618349511,559.625
"20",4,0.611840322443491,554.130000000005
