"","X","acc","comptimes"
"1",1,0.848107959817612,753.293999999994
"2",2,0.819176121168219,748.64499999999
"3",3,0.813799138446384,756.274000000005
"4",4,0.867301802989531,758.972999999998
"5",1,0.819483488223365,753.013999999996
"6",2,0.83257079188543,759.728999999992
"7",3,0.875723606327694,748.216000000015
"8",4,0.823320411360969,749.779999999999
"9",1,0.844053656189828,748.470000000001
"10",2,0.858456955956942,756.623000000021
"11",3,0.833850600666245,760.508000000002
"12",4,0.817609053648069,754.814000000013
"13",1,0.852979924650342,765.146999999997
"14",2,0.790965236089288,759.161999999982
"15",3,0.822348666004417,761.652999999991
"16",4,0.819925496219013,755.693999999989
"17",1,0.84941796748577,763.862000000023
"18",2,0.871938592859286,764.154999999999
"19",3,0.842352093226927,757.271000000008
"20",4,0.81797055065161,758.819000000018
