"","acc","acc.RC","pen","comptimes"
"1",0.229990311949205,0.220615103802059,0.00320753400942619,23.564
"2",0.141884842124278,0.110760386642149,0.00384744383111583,24.377
"3",0.266804263420202,0.280925465208579,0.00336434743125852,24.059
"4",0.109767180674427,0.13813498519657,0.00319036202741061,22.458
"5",0.344386874642837,0.375339556599043,0.00300782236828835,20.713
"6",0.178544297433308,0.245045675246818,0.00318956475566327,19.416
"7",0.293435719086173,0.296716224607708,0.00361028115323182,21.486
"8",0.251470516055146,0.250188508650642,0.00360171911791082,20.694
"9",0.191556942729348,0.206337151585131,0.00347677433216564,19.917
"10",0.312240584964247,0.315656155096777,0.00383558785753677,21.514
"11",0.264660248735835,0.191046384241758,0.00327195258192951,19.315
"12",0.294739419368923,0.279609810783897,0.00346625347650653,19.48
"13",0.156598181392613,0.171006854722362,0.00347859655248717,19.303
"14",0.224763814722471,0.268752432254358,0.00302254636275228,20.927
"15",0.230189287800271,0.22423581754596,0.00369877129996833,23.444
"16",0.23277453638789,0.24588000757035,0.00326917582506538,23.62
"17",0.236205815326878,0.20128515811811,0.00396106219593443,23.346
"18",0.255282616757921,0.297284582712722,0.00378647705546404,22.584
"19",0.241077466453047,0.256214732784071,0.00293889995049638,20.976
"20",0.475803559285599,0.482075023989207,0.00332603174663341,20.277
"21",0.255504637703789,0.246105929198743,0.00313694351074827,22.38
"22",0.318574770640334,0.339419239835699,0.00308588958878527,20.664
"23",0.328804916645935,0.330796376644352,0.00327749967462916,19.611
"24",0.224960654165527,0.213710060587922,0.00361548867136729,20.063
"25",0.271060807783893,0.283261192771593,0.00322332582232419,20.79
"26",0.160763422040811,0.116043940947246,0.00280447514033926,21.556
"27",0.31462587640297,0.273359833161173,0.0032744064559764,18.561
"28",0.264628848310102,0.265208638399586,0.00356250365932695,20.329
"29",0.263163047381864,0.277194956680991,0.00300649610093511,24.937
"30",0.290285591469263,0.263887802665872,0.00365871766522513,21.489
"31",0.252708963123159,0.265229359693508,0.0029840341774832,23.036
"32",0.212737663980585,0.265624579060939,0.00322173442740743,23.218
"33",0.179417504781047,0.216213212663389,0.00321086090706423,20.231
"34",0.20498943158799,0.174188062067114,0.0028978568851189,19.754
"35",0.279853696991115,0.219839874209435,0.00352770376211884,20.737
"36",0.245324905374794,0.267050341238166,0.00348463005793048,20.455
"37",0.287794112448354,0.27765866356408,0.00355776134925778,20.251
"38",0.143528270853313,0.138128103676099,0.00325664756006719,20.827
"39",0.348873753687106,0.415646664940679,0.0040056544786668,23.325
"40",0.233978135158904,0.212525090972502,0.00407661195107226,22.333
"41",0.342738332921105,0.362646854033399,0.00305686446102709,19.862
"42",0.222321040856177,0.218706399411631,0.00329467859064943,18.214
"43",0.291606770306603,0.21014046348325,0.00334226111966861,24.736
"44",0.240279436622749,0.274177484625792,0.00344474957792192,21.789
"45",0.325002067836178,0.379293967749253,0.00358151451258159,22.423
"46",0.270984284411295,0.279091111120243,0.00310013991911117,23.234
"47",0.238316508788325,0.270089637885289,0.0034454276991827,21.185
"48",0.339328494899976,0.304206332946227,0.00337478407846874,21.718
"49",0.16544663845298,0.203528559497341,0.00345926527253168,21.83
"50",0.241208043948039,0.280856461416164,0.00339238698118883,21.061
"51",0.255718010447249,0.276486436273765,0.00315758536533291,20.7
"52",0.417690997720147,0.384584284334124,0.00353560153668604,20.49
"53",0.160729508214801,0.201040994677774,0.00346802776482947,21.099
"54",0.305859636355621,0.284138205616354,0.0035090492119834,20.423
"55",0.203113082451285,0.211453880860624,0.00338010633511427,20.7
"56",0.308252234473795,0.296359844303838,0.00298113424924492,19.703
"57",0.243665929671781,0.240611591541446,0.00370885777068007,22.298
"58",0.356345471852291,0.402097125927263,0.00317465416306353,22.143
"59",0.386624276679205,0.6002136203263,0.00286951148352768,21.601
"60",0.419784178723613,0.376752331741675,0.00359847970329118,21.76
"61",0.318640824828921,0.339233933598888,0.00320472612107784,20.303
"62",0.110173310578165,0.102365255389883,0.00394158655098922,19.877
"63",0.145189650336459,0.18741654018746,0.00353270821920502,20.88
"64",0.231199290149043,0.228089290735869,0.0036096700919194,21.015
"65",0.196313448628753,0.270316344387679,0.00388891120871781,20.873
"66",0.222234538850168,0.242212571694748,0.00355745910745806,20.915
"67",0.148746629865673,0.204619788168628,0.0026907198324834,20.348
"68",0.208210167111532,0.154799457571911,0.00282813741490597,21.158
"69",0.273336118781622,0.282015443156768,0.00364903032619098,18.893
"70",0.191255088309,0.185606490075441,0.00339511959948651,19.583
"71",0.0956571330707194,0.0963039745124917,0.00356280472825538,23.137
"72",0.263832941317525,0.267419513048755,0.00333449683099759,21.683
"73",0.24110788236895,0.248861124734793,0.00342605027748917,22.145
"74",0.267742968900119,0.198587055500521,0.00332351252623808,22.499
"75",0.396492919030751,0.384421284056384,0.00287419733365115,22.653
"76",0.182918381862689,0.251675392225434,0.00314321557961997,21.007
"77",0.403770908623656,0.426711198488516,0.00346598293896077,22.928
"78",0.299032418192171,0.261099519946251,0.00304625464806719,20.628
"79",0.273448799088494,0.250272913915797,0.00339827817411422,21.462
"80",0.376028583026539,0.352136760109565,0.00312946928566199,22.667
"81",0.270823733297984,0.291256258966857,0.00325998623111579,19.863
"82",0.36546646546159,0.388581422787434,0.00291513946919346,21.143
"83",0.408500089960029,0.367582974005538,0.00347541132260488,19.982
"84",0.212746387684355,0.230019331450358,0.00365625706854215,20.023
"85",0.134868710144763,0.119896594134768,0.00343402986520106,22.613
"86",0.247983167867459,0.281510451968722,0.00328633646005134,22.632
"87",0.0864732267559471,0.079088434825348,0.00341591411625467,23.946
"88",0.28146746378422,0.331740955624586,0.00368248181477832,22.276
"89",0.229336446028154,0.176241578347125,0.0035610309145851,21.275
"90",0.282211992150567,0.281867190088973,0.00369802309112942,22.1
"91",0.277383391673354,0.241861025566334,0.00320033394268993,20.917
"92",0.295235814943754,0.281554916495105,0.00334732071449221,20.051
"93",0.206554094319671,0.205700201168449,0.00309041895314519,19.913
"94",0.12048009603792,0.15755407005976,0.00342860357450165,21.134
"95",0.350275550241377,0.399062906606201,0.00356352333312368,20.634
"96",0.130950280599899,0.16460717087178,0.00392230381996531,21.125
"97",0.244300543375265,0.225173739715421,0.00291328984740073,20.158
"98",0.214060410116853,0.203210852773724,0.00336103235944016,19.936
"99",0.369436599827335,0.296062339293248,0.00302700204515821,25.027
"100",0.185647682747504,0.158104248667312,0.00365573836525496,23.645
"101",0.283808922229323,0.250201833215053,0.00326934226968188,23.593
"102",0.440638173991462,0.421973858261458,0.00330880533946899,23.384
"103",0.118844643620324,0.155638858924217,0.00322537725322665,20.164
"104",0.308235218345747,0.237173234484745,0.00304868296357083,20.544
"105",0.336220899412168,0.303790030740986,0.00361331223086149,20.949
"106",0.0933316168383054,0.100321600650309,0.00363507343990604,19.729
"107",0.203710075866966,0.219649681384082,0.00339003648013062,20.609
"108",0.349115786877181,0.346060385704763,0.00314190099862063,20.109
"109",0.277657760680563,0.260518886051759,0.00373546760723876,21.546
"110",0.192544716422258,0.246808632199777,0.00300608339235519,21.239
"111",0.302315108899392,0.239933616422251,0.00302500533733231,19.634
"112",0.109740004864231,0.118169161378717,0.00372022438231224,18.826
"113",0.324905329914145,0.322571416363343,0.00341058824041334,24.255
"114",0.19482519456327,0.169718746995551,0.00292075681926484,23.275
"115",0.251519611435336,0.238015448145557,0.00328590730853208,23.15
"116",0.266380978225641,0.236515761519659,0.00372306949078265,21.598
"117",0.102681839242015,0.0693981936301651,0.00392063128670932,22.014
