"","X","acc","comptimes"
"1",1,0.629096772115923,394.144
"2",2,0.5929531229239,399.813999999998
"3",3,0.504864983906062,435.563000000002
"4",4,0.624941524173732,470.313999999998
"5",1,0.636966142217769,395.389000000003
"6",2,0.628718374040122,413.910000000003
"7",3,0.692865818460499,458.292999999998
"8",4,0.625038411483498,513.753000000004
"9",1,0.676437402959394,402.150000000001
"10",2,0.707895753995643,394.025999999998
"11",3,0.72544512643809,413.978999999999
"12",4,0.605502581737412,451.804000000004
"13",1,0.596051304484832,391.701000000001
"14",2,0.56028076900894,425.050999999999
"15",3,0.496354262918728,475.097000000002
"16",4,0.572100805599446,501.116999999998
"17",1,0.594682704465593,345.786999999997
"18",2,0.617328353282358,346.671999999999
"19",3,0.571848502459003,325.614000000001
"20",4,0.603107785808165,323.419999999998
