"","acc","comptimes"
"1",0.385311181074826,4.759
"2",0.228886797924319,1.966
"3",0.34967076911728,2.426
"4",0.281445781918832,2.253
"5",0.299161204960649,2.095
"6",0.286992839278429,2.122
"7",0.325109435061691,2.236
"8",0.29230471183101,2.047
"9",0.354916715602979,2.844
"10",0.366814725801004,2.75
"11",0.251491442118905,2.324
"12",0.340814304777533,2.383
"13",0.271298901221789,2.373
"14",0.259352250883693,2.435
"15",0.367342066046569,4.815
"16",0.225948620055913,2.291
"17",0.363074510982744,2.212
"18",0.332758666879443,1.863
"19",0.376883754049178,2.225
"20",0.198399793857025,2.135
"21",0.379310982049627,2.278
"22",0.399682416621991,2.003
"23",0.291425492604065,2.575
"24",0.177327572516305,2.974
"25",0.364642106310479,2.64
"26",0.381792331674632,2.301
"27",0.277529269219078,2.592
"28",0.377446229274354,2.329
"29",0.38466590961086,4.432
"30",0.386508635554663,2.268
"31",0.331420493245192,2.146
"32",0.417173031159594,2.318
"33",0.409198251103492,2.389
"34",0.275953490706946,2.146
"35",0.218903090649742,1.936
"36",0.351778454610653,2.194
"37",0.432995782518369,2.544
"38",0.169919575572869,2.507
"39",0.342762881445184,2.625
"40",0.412040070553237,2.6
"41",0.432647997210238,2.347
"42",0.469048223290026,2.409
"43",0.316532516347567,4.471
"44",0.354495801252286,2.214
"45",0.432554951142197,2.546
"46",0.26067735956173,2.219
"47",0.301183404215266,2.213
"48",0.260126536542781,2.201
"49",0.471103271381489,2.341
"50",0.2267727241377,2.29
"51",0.309152514874435,2.873
"52",0.317156449030659,2.598
"53",0.288371628093679,2.606
"54",0.38237160832173,2.329
"55",0.386675819742005,2.231
"56",0.410316858794439,2.278
"57",0.351825381789375,4.54
"58",0.24542316693617,2.549
"59",0.376845467847208,1.916
"60",0.267277013443162,2.249
"61",0.387233512409183,2.42
"62",0.279310315145048,2.394
"63",0.269240173619214,2.285
"64",0.379787609684277,2.369
"65",0.211285017041721,2.821
"66",0.367429094141786,2.494
"67",0.339755314268011,2.649
"68",0.320578660480883,2.256
"69",0.323959531764701,2.452
"70",0.314430093450133,2.032
"71",0.242885424282705,4.438
"72",0.359364628849904,2.203
"73",0.359721249465274,2.324
"74",0.303934416874647,2.2
"75",0.353377928546267,2.05
"76",0.279529667676764,2.153
"77",0.319857802675937,2.379
"78",0.299164521883472,2.141
"79",0.238360506798715,2.779
"80",0.268394983600561,2.708
"81",0.186845547821097,2.753
"82",0.299478178656397,2.277
"83",0.257347898905394,2.267
"84",0.399781327477555,2.261
"85",0.364550368975541,4.35
"86",0.268592881362346,2.1
"87",0.405138622958041,2.561
"88",0.374089673913358,2.101
"89",0.32770068536018,2.206
"90",0.311423887963704,2.267
"91",0.275090363573986,2.277
"92",0.298135769063339,2.078
"93",0.224715454568664,2.825
"94",0.28150741947981,2.87
"95",0.407647484055972,2.282
"96",0.368362707499694,2.467
"97",0.21973410678944,2.331
"98",0.302448543104217,2.445
"99",0.427184736479936,4.32
"100",0.24655856098327,1.941
"101",0.132143946093285,2.359
"102",0.329345295347088,2.103
"103",0.375030295937706,2.093
"104",0.392569946461988,1.775
"105",0.251586811057668,2.365
"106",0.330300743736616,2.157
"107",0.317374730751099,2.611
"108",0.320493182350934,2.752
"109",0.298929626541937,2.437
"110",0.342407728409057,2.637
