"","acc","acc.RC","penG","penE","subset","comptimes"
"1",0.445625227538849,0.471462735253709,0.0737950428536835,0.00211291322870549,"F4-F5",2.63
"2",0.355293285894739,0.392487268969102,0.0697015355765282,0.00201816532902524,"F4-F5",1.497
"3",0.374212228573471,0.394542369346848,0.074503761937764,0.00175027011858627,"F1-F2-F3-F4-F5",1.78
"4",0.342853308096225,0.295577375514917,0.0712842770508411,0.00189898772058511,"F1-F2-F4-F5",1.331
"5",0.321506838373044,0.293494566074907,0.0799301875689713,0.00243889301900602,"F2-F3-F4-F5",1.401
"6",0.381498204725167,0.354489806775196,0.0762287351628178,0.00223265555158368,"F1-F4-F5",1.215
"7",0.351445703991083,0.438068174154397,0.0760392019603384,0.00231030344938938,"F2-F4-F5",1.413
"8",0.324360495186353,0.353627478405368,0.0705175703330781,0.00214492667034096,"F1-F2-F4-F5",1.621
"9",0.47154812523397,0.485337654077816,0.066222288700388,0.0019591899209587,"F1-F4-F5",1.42
"10",0.442778441251221,0.34492866103781,0.0747332386200159,0.0029641153302914,"F1-F4-F5",1.386
"11",0.342742122029414,0.468398875726382,0.0674345883843879,0.00217679069226129,"F1-F2-F4-F5",1.574
"12",0.360037751570622,0.401868391975682,0.0739633688734787,0.00249756103371357,"F3-F4-F5",1.514
"13",0.361010215745718,0.308938768363423,0.0722520246335795,0.00214661307023736,"F1-F3-F4-F5",1.995
"14",0.390361745043085,0.425373796407945,0.0636165905974774,0.00188725428442089,"F1-F3-F4-F5",1.727
"15",0.41656264497958,0.381495569419284,0.063966650514616,0.00196175153585489,"F1-F4-F5",1.625
"16",0.361930960271625,0.536092834614138,0.0632733242709361,0.00192630500016128,"F1-F3-F4-F5",1.58
"17",0.450885978424029,0.444650306205664,0.0765735249405406,0.00218150546967083,"F2-F4-F5",1.51300000000001
"18",0.405471000844967,0.329932161193067,0.0690500835718454,0.00201563553580015,"F1-F2-F4",1.61499999999999
"19",0.399177188732308,0.379198850540883,0.0664353112087321,0.00220041376877464,"F1-F2-F3-F4-F5",2.041
"20",0.308463020161142,0.272426865809064,0.072121731484384,0.00231064975600744,"F1-F2-F3-F4-F5",1.893
"21",0.420681069821327,0.377330575141912,0.0723651247005461,0.00244080363763358,"F1-F2-F4-F5",1.59399999999999
"22",0.473736623165209,0.390672950989708,0.0758191966438033,0.00209675858529936,"F4-F5",1.42400000000001
"23",0.398167749224779,0.312443834949611,0.069779847413698,0.002367721368474,"F1-F3-F4-F5",1.69199999999998
"24",0.303065880362313,0.34775268295754,0.0630186392474791,0.00195862929480162,"F1-F2-F4-F5",1.696
"25",0.468010110238213,0.455362391852917,0.0762367394988552,0.00201073154103384,"F1-F3-F4-F5",1.64400000000001
"26",0.489956067898592,0.451603892116866,0.0669079792198564,0.00216266707904836,"F4-F5",1.45099999999999
"27",0.369392281603195,0.42823872508807,0.0691934024225285,0.00203409186115018,"F4-F5",1.50900000000001
"28",0.464353827075874,0.385945080097072,0.0689879837142509,0.00212067488337814,"F1-F4-F5",1.672
"29",0.429678723239661,0.452057119385269,0.0723871774914314,0.00239485601425769,"F1-F4-F5",1.572
"30",0.472412709075565,0.430923243099488,0.0690974811332868,0.00179567977378023,"F1-F4-F5",1.47999999999999
"31",0.453006653693965,0.446971347320422,0.0664052682416809,0.00220540083363514,"F2-F3-F4-F5",1.64699999999999
"32",0.413877114781892,0.399635728560304,0.0653124237327363,0.00235056159842467,"F2-F4",1.63399999999999
"33",0.392573701586894,0.344975686253507,0.0732109671908026,0.00193764115865109,"F3-F4",1.42500000000001
"34",0.392471367855797,0.408169738289301,0.0696618005564671,0.00262892333735251,"F4-F5",1.44400000000002
"35",0.351507614015996,0.337741793086122,0.0712808276901279,0.00224576005068466,"F4-F5",1.34700000000001
"36",0.386315920570014,0.347951182440979,0.0811081754992932,0.00216718556754664,"F1-F2-F4-F5",1.75700000000001
"37",0.460575697575264,0.360363470802284,0.070906640626267,0.00210309525443843,"F1-F2-F4",1.608
"38",0.30120950021316,0.309337692640937,0.0719401586965166,0.00222961502111375,"F2-F3-F4-F5",1.79300000000001
