"","acc","acc.RC","penG","penE","subset","comptimes"
"1",0.409566862318509,0.368334808530221,0.00280598073026504,0.000635153153018125,"F1-F2",1.588
"2",0.281267377490869,0.276224962435798,0.00591874773721887,0.000720550154575135,"F1-F2",0.514999999999999
"3",0.287426697814705,0.216336634871788,0.00365588127154428,0.000391671753146181,"F1-F2",0.376999999999999
"4",0.256073424563845,0.17419555178114,0.00473345828258981,0.000609955207107801,"F1-F2",0.462
"5",0.278644671386651,0.225335615780179,0.00352847965981639,0.000893328898057483,"F1-F2",0.338999999999999
"6",0.27562185559594,0.220741214827963,0.00467626269979929,0.000637206388426293,"F1-F2",0.353999999999999
"7",0.33787773231564,0.377688073998445,0.00769723335244174,0.00054430271810867,"F1-F2",0.461000000000002
"8",0.269167433566542,0.287331746778427,0.00433030260999024,0.000738806125998252,"F1-F2",0.331000000000003
"9",0.39520279645951,0.337391217694799,0.00534523112445726,0.000408340400472024,"F1-F2",0.348999999999997
"10",0.372060501107067,0.226385995220027,0.00532133792684426,0.00083670892937783,"F1",0.347999999999999
"11",0.271540118685085,0.31791700372055,0.00523035796638566,0.000325969238977609,"F1-F2",0.485999999999997
"12",0.33346054296346,0.366919955446243,0.00277383867544106,0.00065412349917537,"F1-F2",0.368000000000002
"13",0.262826910436901,0.177922060560279,0.00376430394692703,0.000564486738256494,"F1-F2",0.375
"14",0.266515463335744,0.258468230382705,0.00396054129619148,0.000429304522433274,"F1-F2",0.567000000000007
"15",0.372887987765647,0.281278056999312,0.00256899327024092,0.000377690410005634,"F1-F2",0.420999999999992
"16",0.249851624148992,0.342648493492563,0.00239124225049919,0.000673717760567407,"F1-F2",0.419999999999987
"17",0.367875330532734,0.254175622105317,0.00407744008540599,0.000918956123144704,"F1-F2",0.481999999999999
"18",0.353352313971794,0.209800028546994,0.00563215997591286,0.000588790185748392,"F1-F2",0.393000000000001
"19",0.378058427670636,0.31791540451709,0.0043610627751669,0.000608155069229224,"F1-F2",0.396000000000001
"20",0.179913290795555,0.100040023928915,0.0054644381762359,0.000525297267602741,"F1-F2",0.397999999999996
