"","acc","comptimes","penG","penE","subset"
"1",0.807213129426354,33.401,0.671082528275343,0.940747658871979,"F1-F2-F3-F4-F5-F6-F7-F8"
"2",0.701042143794854,28.03,0.692104490487318,0.942311966169442,"F1-F2-F3-F4-F5-F7"
"3",0.758291268788774,28.495,0.678465225658161,0.939584171503565,"F1-F2-F4-F5-F6-F7"
"4",0.789457285239494,27.934,0.682312081712261,0.941246724165711,"F1-F4-F5-F6-F7-F8"
"5",0.70690026242531,27.419,0.670449332478371,0.941185928267871,"F1-F2-F3-F4-F5-F6-F7-F8"
"6",0.739326250602328,26.677,0.682278662996764,0.943385714712767,"F1-F2-F3-F4-F5-F6-F7-F8"
"7",0.805865244811462,26.839,0.689164547389088,0.943809337820167,"F1-F2-F5-F6-F7-F8"
"8",0.729124968248903,26.798,0.688467270202082,0.939523790016001,"F1-F2-F3-F4-F6"
"9",0.785564051740287,26.358,0.671904875685356,0.945653938435821,"F1-F4-F5-F6-F8"
"10",0.789437654235406,26.425,0.685074542733052,0.941632617695935,"F2-F4-F5-F6-F7-F8"
"11",0.74810882729435,26.226,0.693503740039471,0.943608498329991,"F2-F3-F4-F5-F6"
"12",0.712357184275998,24.159,0.698095036190727,0.939797734149351,"F1-F2-F4-F5-F7"
"13",0.820138420792146,26.117,0.679969183635606,0.940770372305823,"F1-F4-F5-F8"
"14",0.733001042537047,24.818,0.686905404032294,0.942971693086937,"F1-F2-F4-F7-F8"
"15",0.760715262569322,24.6,0.685725507800051,0.937737817442973,"F1-F2-F3-F4-F6-F7"
"16",0.745876552525834,26.532,0.691008938976103,0.945141158753933,"F1-F2-F3-F5-F6-F7-F8"
"17",0.797740909638024,25.587,0.669932314572349,0.940724306928073,"F2-F3-F7-F8"
"18",0.819465221017813,24.297,0.696554916430124,0.941042848663951,"F1-F2-F4-F5-F6-F7-F8"
"19",0.700563688950824,25.051,0.695293614096702,0.940294642905746,"F3-F4-F5-F6-F7-F8"
"20",0.772411922600154,25.665,0.687037887854723,0.941154338815316,"F1-F2-F3-F4-F5"
"21",0.63105029470865,25.864,0.694452601157957,0.940299085477906,"F1-F2-F3-F4-F6-F7"
"22",0.858001464136483,26.967,0.680549480306787,0.944219274373527,"F1-F2-F3-F4-F5-F6-F7-F8"
"23",0.766576278967905,24.3150000000001,0.675058972917147,0.940600941139743,"F2-F3-F4-F5"
"24",0.659731653722055,25.307,0.678946972204322,0.945201113979431,"F1-F2-F3-F5-F6-F7"
"25",0.735628455297897,26.871,0.686980307532004,0.944101231632459,"F1-F2-F3-F4-F5-F6-F7"
"26",0.685328544280386,25.896,0.690648345619453,0.944912226244095,"F1-F2-F3-F5-F6-F7-F8"
"27",0.765510129260379,25.592,0.658661401770272,0.944580467282292,"F1-F2-F3-F4-F5-F6-F7"
"28",0.743191599007539,25.501,0.687375623139764,0.941205134493806,"F1-F2-F5-F6-F8"
"29",0.749416630496381,25.495,0.692883314236476,0.936404255330833,"F1-F2-F3-F4-F5-F6-F7"
"30",0.795291756475297,26.054,0.688150618862948,0.938368640036463,"F1-F2-F3-F4-F5-F6-F8"
"31",0.844690354603611,25.659,0.682847018780485,0.943099508364852,"F1-F2-F3-F4-F5-F6-F7"
"32",0.79966757376114,25.321,0.681623249534595,0.938171678628346,"F1-F2-F3-F4-F6-F7"
"33",0.770677988739932,26.5250000000001,0.672615390940134,0.941266047275876,"F1-F2-F3-F4-F5-F7-F8"
"34",0.76450573457141,26.605,0.680471264949299,0.938545551268942,"F2-F3-F4-F6-F8"
"35",0.727270507526897,26.998,0.673949317808594,0.937812434104025,"F2-F3-F4-F5-F6-F8"
"36",0.740988042498233,24.307,0.679236240254909,0.94671216176204,"F2-F4-F5-F6-F7"
"37",0.702143071786673,26.7220000000001,0.685032701471734,0.93973969487939,"F3-F4-F5-F7-F8"
"38",0.767663948355649,27.289,0.670170511758383,0.936652753714174,"F1-F2-F3-F4-F6-F7-F8"
"39",0.726675947532631,25.8100000000001,0.683440374794288,0.940532974128833,"F2-F3-F4-F5-F7-F8"
"40",0.741475181775474,26.3819999999998,0.684215728444755,0.936547725808089,"F1-F3-F4-F5-F6-F8"
"41",0.81268962829541,24.579,0.682944255346898,0.941881081032087,"F1-F2-F3-F4-F6-F8"
"42",0.786408539572039,26.595,0.678806417557603,0.937479791492561,"F1-F2-F3-F4-F5-F6-F7-F8"
"43",0.712613822519115,25.7739999999999,0.683566287879899,0.939612285971384,"F1-F3-F4-F5-F6-F7"
"44",0.766116909686508,28.8390000000002,0.686144660210064,0.939702180206274,"F1-F2-F3-F4-F5-F6-F7-F8"
"45",0.77117991052311,29.087,0.681390064499978,0.937946452335631,"F1-F2-F3-F4-F5-F6-F7"
"46",0.821599921423967,26.797,0.693496866176242,0.94443184308513,"F1-F2-F6-F7-F8"
"47",0.771081489067807,25.616,0.68240175947245,0.943817552171694,"F2-F3-F6-F7-F8"
"48",0.763447202082893,24.7280000000001,0.680105627812273,0.93806344965127,"F2-F3-F5-F6-F8"
"49",0.632360896599685,26.088,0.69350032541592,0.939817891865717,"F1-F2-F5-F6-F7-F8"
"50",0.780196397252732,25.4780000000001,0.667514644067806,0.939021714594178,"F1-F2-F4-F5-F6"
"51",0.768766719309669,24.826,0.679383606714672,0.943133623627902,"F3-F4-F5-F7-F8"
"52",0.757814971080542,26.482,0.67762831470289,0.939131261306464,"F3-F5-F6-F7-F8"
"53",0.745329065711932,28.3109999999999,0.683356408768115,0.94610366797286,"F1-F2-F4-F5-F6-F7-F8"
"54",0.798175109090639,24.5450000000001,0.688346809063711,0.940222219751272,"F1-F2-F3-F6-F7"
"55",0.707644755786127,25.162,0.687682607151663,0.943063226100193,"F1-F2-F3-F4-F5-F6-F7"
"56",0.793714212853159,27.3899999999999,0.68836341232224,0.940145816888682,"F1-F2-F3-F5-F8"
"57",0.723929069846392,26.385,0.678315030716902,0.941071759879317,"F1-F2-F4-F6-F7"
"58",0.817001500101094,27.5410000000002,0.672682156580921,0.942387306149291,"F1-F2-F3-F4-F7"
"59",0.802079484529847,27.145,0.678297827478602,0.944168059840194,"F1-F2-F4-F7-F8"
"60",0.743433627287687,27.309,0.686177457768803,0.943611093146703,"F1-F2-F3-F4-F5-F7-F8"
"61",0.785818538337257,25.8889999999999,0.670035937414993,0.938298292286542,"F1-F3-F4-F5-F6-F7-F8"
"62",0.810193954511501,26.019,0.679453801834663,0.941741424777022,"F2-F3-F4-F5-F7-F8"
"63",0.64690279714117,25.7950000000001,0.69201642261932,0.939708831595811,"F1-F4-F5-F6"
"64",0.823118841978916,26.7849999999999,0.686205409007001,0.942402112249439,"F1-F2-F3-F4-F5-F8"
"65",0.80819996008215,24.759,0.679022646375842,0.94039319372078,"F1-F2-F3-F5-F6-F8"
"66",0.632504527358384,24.645,0.676137396225388,0.944710175430963,"F1-F2-F3-F5-F6-F7"
"67",0.731528846550554,26.7750000000001,0.693564157513299,0.941070355734115,"F1-F2-F3-F4-F5"
"68",0.774740331942918,24.2,0.690406873330516,0.945090593919294,"F2-F6-F7-F8"
"69",0.703214856747972,27.105,0.687165134765088,0.938223935638375,"F1-F3-F4-F5-F6-F7"
"70",0.760607872929749,25.7169999999999,0.683931292411732,0.942624492114233,"F1-F3-F4-F5-F6"
"71",0.738660131129469,26.6559999999999,0.672841947328192,0.939000081448988,"F1-F2-F3-F5-F6-F7-F8"
"72",0.782818358997123,25.3300000000002,0.686183846188254,0.937140392139069,"F3-F4-F5-F6-F7-F8"
"73",0.797908373044054,27.05,0.684026504603399,0.940259312973789,"F2-F3-F4-F6-F7"
"74",0.736891408100115,25.462,0.687035546122944,0.944547482871383,"F1-F2-F3-F4-F5-F6-F7-F8"
"75",0.806788728132159,26.8530000000001,0.674492883147653,0.942826956723048,"F1-F2-F3-F4-F5-F6-F8"
"76",0.752844819000947,24.9050000000002,0.655460964354333,0.937812016672142,"F1-F2-F3-F4-F5-F6-F7"
"77",0.816897701486954,24.625,0.68123696926255,0.941231931671164,"F1-F2-F3-F4-F5-F8"
"78",0.72603883285998,25.693,0.687513073170255,0.942247322678573,"F2-F3-F4-F5-F7-F8"
"79",0.771904438792629,25.5790000000002,0.693925511802265,0.939223485318935,"F1-F5-F6-F7-F8"
"80",0.749191520499641,27.5639999999999,0.688651678389836,0.942579696983333,"F1-F2-F3-F4-F5-F6-F7"
"81",0.74961259502545,25.806,0.690533276717693,0.943019699404753,"F2-F3-F4-F6-F7"
"82",0.770853302874339,26.7759999999998,0.687367639195642,0.941207185852385,"F2-F3-F4-F5-F7"
"83",0.750417825697293,26.0989999999997,0.687585265790244,0.942814635204306,"F1-F2-F3-F4-F5-F6-F7"
"84",0.75994242651237,26.0050000000001,0.684638108948966,0.944229453900867,"F1-F3-F4-F5-F6"
"85",0.714667854495005,25.6289999999999,0.692676233704339,0.939082303729202,"F1-F2-F3-F4-F5-F6-F8"
"86",0.800811058336823,26.3760000000002,0.686869883574584,0.941250012685548,"F1-F2-F3-F4-F5-F6-F7-F8"
"87",0.76219097423556,25.848,0.686571902052211,0.94456517378004,"F3-F5-F6-F7-F8"
"88",0.786258881526538,27.614,0.675507568894453,0.942243387485294,"F1-F2-F3-F4-F8"
"89",0.75158573873803,25.5949999999998,0.677594798212568,0.939686442153494,"F1-F2-F3-F5-F6-F7-F8"
"90",0.758700943531627,26.0300000000002,0.684942947287536,0.939628156357216,"F1-F2-F3-F4-F7-F8"
"91",0.789172508937024,24.8510000000001,0.678106673400616,0.94255100375223,"F2-F3-F4-F5-F6-F7"
"92",0.783141989137036,27.232,0.69752955565135,0.935834018664402,"F1-F2-F3-F4-F5-F6-F8"
"93",0.775245385697823,24.8409999999999,0.686184844440012,0.939486960360399,"F2-F3-F4-F5-F7-F8"
"94",0.828675050704772,24.8310000000001,0.689197001356559,0.94306103851007,"F1-F2-F3-F5-F6-F7-F8"
"95",0.734488789187878,24.8310000000001,0.665125022405262,0.943403156244171,"F1-F2-F4-F5-F6-F7-F8"
"96",0.759274021843066,26.2420000000002,0.665037967527841,0.941469283146738,"F2-F3-F4-F5-F6-F7-F8"
"97",0.800387954389762,25.1669999999999,0.692983304633674,0.945140328649586,"F1-F2-F3-F4-F5-F8"
"98",0.645883866053654,25.7220000000002,0.693474808029549,0.941319556047683,"F1-F2-F3-F4-F5-F6-F7"
"99",0.812006021306086,25.7490000000003,0.665364666931745,0.939842574625781,"F3-F4-F5-F6-F8"
"100",0.734115193900881,22.1059999999998,0.6781889239265,0.949940056978758,"F1-F2-F3-F4-F5-F6-F7-F8"
