"","acc","acc.RC","comptimes"
"1",0.706681343722227,0.771053372389472,14.701
"2",0.750492827136278,0.821133359756242,12.8
"3",0.736839868414679,0.788976287522855,10.792
"4",0.767826389567665,0.814431142264078,11.25
"5",0.721594376314946,0.785707053770964,11.237
"6",0.776911860520743,0.842451286175674,11.454
"7",0.759730227919068,0.838940504949368,10.491
"8",0.682766629753744,0.748854904147042,10.974
"9",0.762162076767361,0.844937864048019,11.417
"10",0.766312101524633,0.814831214494901,10.688
"11",0.68217390506328,0.733294925421255,10.349
"12",0.657607516277083,0.764824738681637,13.049
"13",0.761902639964056,0.863612322154007,10.498
"14",0.717810267369547,0.766026932452309,10.367
"15",0.775622295190251,0.8125403661248,15.588
"16",0.725352601332505,0.818921287041658,11.902
"17",0.738199502472498,0.770445980835492,11.847
"18",0.730663563940817,0.771965610479126,10.519
"19",0.759857302399236,0.861986906348691,11.486
"20",0.720119715001094,0.775043411279244,10.942
"21",0.74391327215761,0.781179399700236,11.474
"22",0.774816888522865,0.82886865463815,10.766
"23",0.726395348294587,0.783074138365473,11.099
"24",0.721684376181065,0.825220460268096,9.88499999999999
"25",0.685803638431327,0.808821680621803,10.963
"26",0.73534879774487,0.81997792770177,10.693
"27",0.707133035514682,0.813177216032645,10.306
"28",0.740227087503044,0.815021701774981,11.135
"29",0.724207961954899,0.810670238062442,14.687
"30",0.693908510207687,0.773481367495883,12.644
"31",0.72260860509807,0.774297530640347,10.962
"32",0.775123866813183,0.815879276600993,11.225
"33",0.730779927317235,0.8025961010669,11.211
"34",0.691120533444414,0.734300652513725,10.799
"35",0.747523432418286,0.844333283792813,10.906
"36",0.761821661210659,0.772210905004581,10.992
"37",0.716608352719461,0.793082020328185,10.409
"38",0.748201989549852,0.783276220298633,10.5
"39",0.764292898166879,0.82699355023871,10.778
"40",0.740233341402857,0.755643635134878,10.826
"41",0.754716026754567,0.810022606674677,10.399
"42",0.747009308052794,0.814150988943792,9.96600000000001
"43",0.65578747022104,0.679122380666316,15.083
"44",0.749274127890501,0.762987005036466,11.968
"45",0.767945083979218,0.818124239266204,11.846
"46",0.687163690886652,0.821062432283548,11.318
"47",0.76390294663112,0.834522146495303,11.144
"48",0.722985749712955,0.800073498152874,11.65
"49",0.733363594168667,0.765790962700389,11.204
"50",0.724221172518321,0.786194153342171,10.268
"51",0.743931121574919,0.783351006545915,10.766
"52",0.679918337136147,0.762173274663385,10.627
"53",0.756751670585836,0.784174869233595,10.933
"54",0.723497947140052,0.772899614112078,10.616
"55",0.76305207475112,0.804921730109911,10.589
"56",0.743316480703929,0.854994883598606,10.688
"57",0.686017767745567,0.713592853984598,13.992
"58",0.692139491389286,0.756675672721439,11.431
"59",0.686537431334946,0.781677601571253,10.013
"60",0.688282872379745,0.777441248211155,10.93
"61",0.775395709803979,0.859491409243823,11.201
"62",0.76202463393066,0.833863446410038,10.445
