"","acc","pen","comptimes"
"1",0.547778061050444,0.00143990442147099,23.46
"2",0.608158294850542,0.00138314096084577,24.663
"3",0.544397165222507,0.00114213631889886,28.947
"4",0.553075682630993,0.0013748776068932,28.54
"5",0.564059740244632,0.00128433234241609,27.836
"6",0.525183679518449,0.00130409174073829,27.849
"7",0.517959031986265,0.0014481829612425,26.46
"8",0.664599996480569,0.00157420093821332,27.599
"9",0.533600398348878,0.00136609091654182,27.34
"10",0.62097744949222,0.00113148812191518,30.282
"11",0.675154534826392,0.00151204536168775,27.493
"12",0.596521320013314,0.00160094582653205,27.636
"13",0.595856736785287,0.00144585674402368,28.114
"14",0.377558835309189,0.00141240363073394,26.329
"15",0.480580933454928,0.00128760423702487,26.08
"16",0.564983028415783,0.00124333081081929,26.044
"17",0.513928147578339,0.00142800033006973,26.682
"18",0.533979116333825,0.00168671955859156,27.974
"19",0.486127922934203,0.00149293109841973,25.929
"20",0.655139495331015,0.00133234145090702,27.488
"21",0.562374570847548,0.00133083115817184,27.455
"22",0.622760518261972,0.00147786630598562,25.292
"23",0.495518130088165,0.00138559437909272,26.286
"24",0.469077801227493,0.00133672596569192,26.77
"25",0.531812425646399,0.00133300815927665,27.977
"26",0.484137008290442,0.00167898660835781,26.292
"27",0.56435134658986,0.00119616851707727,23.63
"28",0.522480599719594,0.00113841716551804,28.872
"29",0.50783293230431,0.00149066555365256,22.332
"30",0.474652705753499,0.00123220270590404,25.459
"31",0.568263316122525,0.0015134140615673,24.75
"32",0.525801176302474,0.00112707652894967,30.027
"33",0.46385773555572,0.00121715180123455,25.564
"34",0.508649697624304,0.00144827501808328,24.96
"35",0.679238719510795,0.00157472943047766,27.37
"36",0.456770857544533,0.00158066231598616,29.002
"37",0.582057229174315,0.00128716451739513,27.011
"38",0.560922657132707,0.00147352032896928,24.896
"39",0.568869976193827,0.00104540191425671,30.628
"40",0.557837377278454,0.00173957848583975,26.4
"41",0.470008397964619,0.00133723875417261,25.618
"42",0.582045136638737,0.00150770808980366,25.677
"43",0.431322259764123,0.00139308666287454,24.913
"44",0.574916241303751,0.00145994819435263,26.547
"45",0.529122008204538,0.00167933550744318,26.263
"46",0.792133346014985,0.00129771955890833,28.761
"47",0.51674177380274,0.00137784197119211,28.108
"48",0.52461840777579,0.00105319814584501,31.278
"49",0.516549165997984,0.00102657613076791,32.485
"50",0.607495302040336,0.00169495185039866,26.755
"51",0.532547640342607,0.00125045582829095,29.367
"52",0.563967206529614,0.00139250723893138,25.175
"53",0.639841132391016,0.00119878401242504,28.358
"54",0.539381363012633,0.00137711955191932,26.436
"55",0.41170131667168,0.00122839936383691,27.074
"56",0.569583847405386,0.00109705307792152,26.402
"57",0.459158031374706,0.00126841736255972,24.229
"58",0.534487330778021,0.00116815895951784,26.514
"59",0.539972564885481,0.00144365896884742,26.123
"60",0.564102703400641,0.00140206662007893,29.452
"61",0.542247401974344,0.00120300520566691,28.804
"62",0.617061917205895,0.00156210399757703,27.259
"63",0.529764518275225,0.00140941755986136,28.252
"64",0.623953798407752,0.00109596024834867,27.485
"65",0.565688539139884,0.00130266536344524,28.628
"66",0.527088061880471,0.00188262679430149,27.045
"67",0.573742872570218,0.00155508705797542,28.514
"68",0.626010269622616,0.00106647896407434,27.89
"69",0.672896189357475,0.00157440465447954,25.8890000000001
"70",0.542581851549619,0.00122943921419207,25.422
"71",0.40036892676706,0.00141914854545711,24.462
"72",0.439281510503414,0.00127711055301824,25.494
"73",0.603470155519427,0.00144717504335067,24.631
"74",0.640889443991548,0.00103420544616383,31.889
"75",0.618987837988862,0.0012881695441575,28.889
"76",0.608479459403048,0.00122575150452382,27.89
"77",0.610035436806986,0.00119977488242662,27.331
"78",0.544160466278533,0.00130538305173142,28.322
"79",0.558375162578801,0.0015217686738663,26.657
"80",0.436318011296249,0.00134945118400504,29.551
"81",0.587486546204051,0.00145487817934162,27.5820000000001
"82",0.550937750398769,0.00158870486479492,29.465
"83",0.592531183929248,0.00151033000402042,24.049
"84",0.493358217203485,0.00135669362390655,24.529
"85",0.480948293261639,0.00139749942873569,23.002
"86",0.448694952703575,0.00173237709268423,26.215
"87",0.500173755778766,0.00131879731240078,27.405
"88",0.512952663512393,0.00121513835568055,28.427
"89",0.45634247338616,0.0011944150437284,28.512
"90",0.467438503710776,0.00147898936250082,27.851
"91",0.530084402798032,0.00125240811669328,26.247
"92",0.46220646323264,0.00151755286763341,26.262
"93",0.561784785180185,0.00144923789978455,27.798
"94",0.549941039327578,0.00111670387033271,26.518
"95",0.650269510995633,0.00111520497629883,30.345
"96",0.588696813196926,0.00134760167645601,25.676
"97",0.610169452322352,0.00166484736521976,24.6039999999999
"98",0.567079273939366,0.00131160745144879,25.535
"99",0.445168402404254,0.00152479172893432,25.36
"100",0.63441724886524,0.00129074627990329,26.284
"101",0.559683667459417,0.00145529822341681,26.05
"102",0.573631139146973,0.00150419983375465,27.518
"103",0.568589841891804,0.0015310754163233,28.467
"104",0.517343691692976,0.0013972600109255,25.618
"105",0.430073435500554,0.00147579879077294,26.308
"106",0.668441474513259,0.00164417859072562,27.654
"107",0.599476874936613,0.00127827067832025,26.939
"108",0.542315786910458,0.00153774762184529,26.569
"109",0.590308326384413,0.00105205956794888,29.343
"110",0.54791906896156,0.00139907076290015,25.911
"111",0.500311804439126,0.00119694328252474,26.014
"112",0.419414622514787,0.00143938715049764,25.068
"113",0.556767075758176,0.00108869241048832,25.362
"114",0.588179355054653,0.00150494931129398,26.168
"115",0.628562181414436,0.00130988173853675,27.04
"116",0.523851185869892,0.00161450607861171,27.965
"117",0.522682765584408,0.00142578118137047,26.101
"118",0.539737896427102,0.00116995351337306,28.985
