"","acc","comptimes","penG","penE","subset"
"1",0.523883585497004,32.461,0.534295226600973,0.38588165073438,"F1-F2-F3-F4-F5-F7-F8-F9"
"2",0.629648628158638,26.337,0.540825882936584,0.38025670627465,"F1-F4-F6-F8-F9"
"3",0.517516082903172,26.26,0.5352821154508,0.378562163998307,"F1-F3-F4-F5-F6-F7-F8-F9"
"4",0.617841596219607,25.469,0.533316618611845,0.377660922200345,"F1-F2-F3-F5-F6-F7-F9"
"5",0.612750641221672,26.876,0.538205625190664,0.378444610255228,"F1-F3-F5-F6-F7-F8"
"6",0.479296736164228,24.697,0.545401658184003,0.38223954254192,"F1-F2-F3-F5-F6-F7-F8-F9"
"7",0.687551395421046,24.89,0.534543273430888,0.387660060815373,"F1-F3-F4-F5-F6-F7-F8-F9-F10"
"8",0.639504348143386,25.982,0.554398175419485,0.372657452660945,"F1-F2-F3-F5-F6-F8-F9"
"9",0.68549954908924,25.886,0.521080638505858,0.384231945888898,"F2-F3-F4-F7-F8-F9"
"10",0.579728130555724,22.451,0.529838908738338,0.383834208963241,"F1-F2-F6-F7-F8-F9"
"11",0.692703177963488,24.861,0.540878366716946,0.380739819861689,"F1-F2-F3-F4-F5-F7-F9"
"12",0.668776135750107,24.759,0.530541041355444,0.375111871693353,"F2-F5-F6-F7-F8"
"13",0.654832622587129,23.994,0.551051895175648,0.384368215002213,"F1-F2-F3-F5-F7-F8-F9"
"14",0.626642351996539,25.424,0.54348837972965,0.385118870544625,"F2-F3-F4-F6-F7-F8"
"15",0.585811940955969,27.466,0.538682523316769,0.385854383612105,"F1-F2-F3-F5-F6-F7"
"16",0.646409387222338,26.256,0.540960982949773,0.378511135592374,"F1-F2-F3-F4-F6-F9"
"17",0.503410503742211,25.192,0.525581760322929,0.380042438193433,"F2-F3-F4-F7"
"18",0.670919021274887,24.064,0.544277236398025,0.378295922186743,"F2-F3-F4-F6-F7-F9"
"19",0.64133698196467,22.935,0.548673353111892,0.380650394528124,"F1-F4-F6-F7-F8"
"20",0.697698407565718,24.231,0.529283943255378,0.38034092662316,"F1-F2-F3-F7-F8-F9"
"21",0.529205050565468,24.9789999999999,0.531584697844794,0.381122864631528,"F2-F4-F5-F6-F7-F8"
"22",0.570794813795821,27.352,0.541927689717749,0.382246348988876,"F1-F3-F5-F6-F7"
"23",0.57062144950139,24.929,0.530124460933561,0.386027562918876,"F1-F2-F3-F7-F8-F9"
"24",0.653219710873151,25.74,0.526932429798442,0.388619087147641,"F1-F2-F3-F5-F7-F9"
"25",0.605217701771369,26.252,0.531282994864295,0.3858134442243,"F1-F2-F3-F4-F5-F6-F7-F9"
"26",0.663199094566433,23.5749999999999,0.555104907010222,0.383076852244389,"F1-F2-F4-F7-F8"
"27",0.520561770813954,27.153,0.543279810861592,0.381431417774618,"F1-F2-F3-F4-F6-F8-F9"
"28",0.667389995666419,23.1469999999999,0.530076245392313,0.385261021226709,"F1-F2-F3-F4-F5-F7-F8-F10"
"29",0.662168783266448,25.648,0.543898165519938,0.377383256438942,"F1-F3-F4-F5-F7-F8-F9"
"30",0.565810484535915,24.394,0.53359063447851,0.379838700121121,"F1-F2-F3-F4-F5-F6-F8-F9"
"31",0.602554918636292,23.5940000000001,0.541105633764468,0.375083897424945,"F1-F2-F3-F5-F6-F7-F9"
"32",0.563765254458383,24.0549999999999,0.55355511598323,0.384616471864544,"F2-F4-F5-F6-F9"
"33",0.675762416237743,26.298,0.539914515962908,0.385161195804017,"F1-F3-F5-F7"
"34",0.720278901942894,24.0999999999999,0.541574373927768,0.382597669778348,"F2-F3-F4-F5-F6-F7-F9"
"35",0.631146532400088,22.1410000000001,0.533161135068547,0.386484435564024,"F2-F4-F5-F6-F7-F9"
"36",0.641015246349816,26.0310000000001,0.54769224028052,0.3747188555167,"F1-F2-F3-F5-F7"
"37",0.665186792795301,25.4129999999999,0.54212370871448,0.378384063716483,"F1-F2-F3-F4-F5-F9"
"38",0.595877667373049,24.4019999999999,0.532658718242809,0.375121935026714,"F1-F2-F3-F4-F7-F8"
"39",0.631145665138422,24.638,0.534812918277596,0.376153739017022,"F3-F4-F5-F6-F9"
"40",0.649127018960092,26.458,0.533300885510636,0.372696890672218,"F1-F3-F4-F6-F7-F8"
"41",0.662694708280481,24.191,0.543352390321597,0.382368337033532,"F1-F2-F3-F5-F6-F7-F9"
"42",0.695813314483879,27.8610000000001,0.543718816754363,0.38134773788189,"F1-F2-F5-F6-F7-F9"
"43",0.645002710643537,22.6980000000001,0.547308073977642,0.376515441229816,"F1-F4-F5-F6-F8"
"44",0.579509265725393,25.635,0.542056182575973,0.37634291067501,"F1-F4-F5-F6-F7-F9"
"45",0.662848644506223,24.7809999999999,0.53603970308728,0.382275272258273,"F1-F2-F3-F4-F5-F7-F8-F9"
"46",0.708890890850887,27.4580000000001,0.544903255759033,0.384925723740843,"F1-F2-F3-F4-F5-F6-F7-F8"
"47",0.592526537304605,24.8299999999999,0.569379645513148,0.376653247363978,"F1-F3-F6-F7-F8"
"48",0.557542911214258,26.3720000000001,0.528206661198432,0.371600106797194,"F1-F2-F3-F4-F5-F7-F8"
"49",0.676921337292131,23.5920000000001,0.552995638488046,0.3805292439589,"F1-F2-F3-F4-F5-F6-F9"
"50",0.648702608816893,26.0830000000001,0.545706140010452,0.383447451933526,"F1-F2-F3-F4-F5-F6-F9"
"51",0.742687652387113,25.8489999999999,0.528277582937256,0.384708814762007,"F1-F2-F3-F4-F6"
"52",0.565420222249077,24.885,0.562535970975428,0.379074294758867,"F3-F4-F5-F8-F9"
