"","X","acc","comptimes","archs"
"1",1,0.155448382216307,51.119999999999,"multiMLP_L8_N64_D0.1_CV2"
"2",2,0.206903221719403,55.5800000000017,"multiMLP_L4_N64_D0.1_CV2"
"3",3,0.232930357045508,50.6100000000006,"multiMLP_L8_N64_D0.1_CV2"
"4",4,0.249457864645141,55.25,"multiMLP_L4_N64_D0.1_CV2"
"5",5,0.223906132770195,86.6900000000005,"multiMLP_L4_N16_D0.1_CV2"
"6",6,0.363963187231537,59.5400000000009,"multiMLP_L8_N64_D0.1_CV2"
"7",7,0.344914227859462,56.630000000001,"multiMLP_L8_N64_D0.1_CV2"
"8",8,0.330765751903388,52.2800000000007,"multiMLP_L8_N64_D0.1_CV2"
"9",9,0.183394585729339,56.9099999999999,"multiMLP_L8_N64_D0.1_CV2"
"10",10,0.155652540955645,54.8600000000006,"multiMLP_L8_N64_D0.1_CV2"
"11",1,0.314393747777791,89.3000000000011,"multiMLP_L4_N64_D0.1_CV2"
"12",2,0.258639276803531,54.7700000000004,"multiMLP_L4_N64_D0.1_CV2"
"13",3,0.21205882181799,53.7600000000002,"multiMLP_L8_N64_D0.1_CV2"
"14",4,0.174811057707361,52.6699999999983,"multiMLP_L8_N16_D0.1_CV2"
"15",5,0.266022402144893,53.9699999999993,"multiMLP_L4_N64_D0.1_CV2"
"16",6,0.455487418587009,55.8899999999994,"multiMLP_L4_N16_D0.1_CV2"
"17",7,0.288156703406343,50.8500000000004,"multiMLP_L8_N64_D0.1_CV2"
"18",8,0.340128907139574,53.7800000000007,"multiMLP_L8_N64_D0.1_CV2"
"19",9,0.295574442287821,57.2600000000002,"multiMLP_L8_N64_D0.1_CV2"
"20",10,0.309887130844121,54.7800000000007,"multiMLP_L8_N64_D0.1_CV2"
