"","acc","penG","penE","subset","comptimes"
"1",0.675856843261342,0.107760591480473,0.0063230161689776,"F1-F2-F3-F5-F7-F8-F9-F10-F11-F12",9.749
"2",0.763702299446376,0.119168307475421,0.00773181500108689,"F1-F2-F3-F4-F5-F7-F8-F9-F11",7.966
"3",0.731456187939538,0.103552269168752,0.00510742963130616,"F1-F2-F4-F7-F8-F9-F11",7.727
"4",0.717087189927189,0.10914079004095,0.00616916681332093,"F1-F2-F3-F4-F5-F6-F7-F8-F9-F10-F11-F12",11.602
"5",0.772695329615451,0.112061226611969,0.00714280324903457,"F1-F2-F3-F5-F6-F8-F9-F10",8.506
"6",0.825401966875052,0.110656959549281,0.00665143937680768,"F1-F2-F3-F4-F5-F6-F7-F8-F9-F10",7.596
"7",0.742549983124546,0.108146500253484,0.00640763607979268,"F1-F2-F3-F4-F6-F7-F8-F9-F10",8.207
"8",0.777269996311289,0.112917671016244,0.00730438912786036,"F1-F4-F5-F7-F8-F9-F10",7.904
"9",0.767663801964297,0.105692968768615,0.00603510479765475,"F1-F2-F3-F4-F5-F6-F7-F8-F9-F10",9.381
"10",0.807310771074349,0.1130628077304,0.00690053902177849,"F1-F2-F3-F4-F7-F8-F9-F10-F11-F12",8.249
"11",0.795705913327661,0.106903366169382,0.00471519547289349,"F1-F2-F3-F4-F5-F6-F7-F8-F9-F10-F11",10.292
"12",0.763810859044014,0.109830713595483,0.00679369277075083,"F1-F2-F3-F4-F5-F6-F8-F9-F11",9.738
"13",0.766976323539926,0.108977967574691,0.00549538668435901,"F1-F2-F4-F5-F6-F8-F10",7.564
"14",0.744142576561305,0.108692853866944,0.0054079328213751,"F1-F2-F3-F4-F5-F6-F8-F9-F10",6.971
"15",0.752046381506411,0.101795383469515,0.00434915173992289,"F1-F2-F3-F4-F5-F6-F7-F8-F9-F10",7.635
"16",0.800759637728713,0.112148832080875,0.00562683455553348,"F1-F2-F3-F4-F5-F6-F8-F9-F10-F11",9.75000000000001
"17",0.710302605661841,0.115179952626139,0.00706015688219941,"F1-F2-F3-F4-F5-F7-F8-F9-F10",9.708
"18",0.801621741634007,0.107509752591426,0.00512447711022101,"F1-F3-F4-F5-F7-F8-F10",7.126
"19",0.817058366192246,0.114868624423552,0.00870659703573577,"F1-F2-F3-F4-F5-F7-F8-F9-F10-F11",9.172
"20",0.694210220607821,0.114760177065529,0.00678770249986117,"F1-F2-F3-F4-F5-F6-F8-F9-F10",9.217
