"","acc","comptimes"
"1",0.512780356518721,5.629
"2",0.507103733392145,2.501
"3",0.548773718977963,2.935
"4",0.45361228141246,2.492
"5",0.583728187137453,2.243
"6",0.556570809964259,2.828
"7",0.547033907139524,2.485
"8",0.502806062179508,2.326
"9",0.52715500511707,2.959
"10",0.530541923421614,2.553
"11",0.439566996308842,2.932
"12",0.57184891981276,2.46400000000001
"13",0.539350377948373,2.689
"14",0.509101845148514,1.682
"15",0.497203666543646,5.716
"16",0.536574189731872,2.891
"17",0.544319569853016,2.621
"18",0.513185935291839,2.58
"19",0.513510546358181,2.81
"20",0.541526087604171,2.207
"21",0.510371975436682,2.438
"22",0.498110647800366,2.641
"23",0.571949422766246,2.565
"24",0.438502258342203,2.554
"25",0.552070453061675,2.449
"26",0.494640342596317,3.155
"27",0.531981308347649,2.532
"28",0.546952794326325,1.70500000000001
"29",0.531203704847515,5.577
"30",0.544292431040462,3.038
"31",0.538354817021092,2.689
"32",0.494951989339301,2.495
"33",0.55166139804292,2.723
"34",0.492386356919336,2.595
"35",0.558100217212629,2.506
"36",0.509384222141965,2.369
"37",0.49092147260077,2.165
"38",0.539931052528905,2.43
"39",0.530691938333724,2.51
"40",0.525131175342728,2.519
"41",0.540705619696384,2.084
"42",0.404395035546906,2.137
"43",0.559226340202844,5.45
"44",0.57056496218806,2.896
"45",0.515875008384876,2.616
"46",0.532494311312558,2.192
"47",0.484418624945201,2.94
"48",0.519715191092305,2.526
"49",0.547241600722981,2.546
"50",0.568789201641296,2.543
"51",0.516529506345285,2.732
"52",0.571063650797226,2.187
"53",0.524264998835996,2.647
"54",0.480162612020952,2.391
"55",0.526788228152274,2.435
"56",0.537537319760887,2.248
"57",0.498601358314524,5.795
"58",0.559584507058112,2.948
"59",0.530443938411278,2.548
"60",0.54802820014665,2.603
"61",0.50385158824796,2.46
"62",0.538097229950231,2.781
"63",0.598118026484674,2.538
"64",0.453966706484063,2.52
"65",0.472766089439782,2.438
"66",0.490365636729031,2.529
"67",0.592720455016891,2.432
"68",0.466799449615215,2.808
"69",0.582347159193341,2.34
"70",0.546594198122159,1.669
"71",0.456083426105478,5.649
"72",0.516422460332483,2.561
"73",0.45808623527884,2.854
"74",0.593648649958447,2.445
"75",0.505865127240716,2.729
"76",0.576985081355076,2.647
"77",0.563453934763108,2.551
"78",0.580037193517292,2.632
"79",0.556759408022789,2.473
"80",0.55473186967006,2.842
"81",0.509842223787266,2.8
"82",0.436398944103107,2.441
"83",0.484679539904765,2.315
"84",0.577995119823995,1.809
"85",0.45234578954426,5.452
"86",0.541983444805847,2.591
"87",0.533418674577513,3.333
"88",0.583283383057617,2.505
"89",0.518064966720793,2.923
"90",0.616481171532032,2.17
"91",0.440112615388458,2.827
"92",0.555450318335645,2.62
"93",0.589659679121601,2.569
"94",0.580215435851126,2.194
"95",0.555741077165529,2.395
"96",0.482095119306359,2.48399999999999
"97",0.56251455195385,2.059
"98",0.487501142915724,1.9
"99",0.543071927342675,5.464
"100",0.513745603103631,3.053
"101",0.518777977030999,2.703
"102",0.587136072115892,2.487
"103",0.499644320006944,2.69
"104",0.543544200282616,2.222
"105",0.455681146716516,2.856
"106",0.488630207928471,2.507
"107",0.504960124038062,2.806
"108",0.524530291749697,2.552
"109",0.454990591289834,2.491
"110",0.601047855731565,2.452
"111",0.587427781636181,2.624
"112",0.538387313751985,1.712
"113",0.460507839874612,5.846
"114",0.54578229487778,2.592
"115",0.581051239136775,2.807
"116",0.60187661893773,2.934
"117",0.566455290453214,2.987
"118",0.58089484699428,2.52
"119",0.580649927258965,2.497
"120",0.556631466598799,2.527
"121",0.489231103634257,2.557
"122",0.489747095029072,2.804
"123",0.523392517401057,2.549
"124",0.431329166157357,2.403
"125",0.545524931443836,2.426
"126",0.489325822100445,1.501
"127",0.513280812175462,5.618
"128",0.547419003175856,2.959
"129",0.417109450534522,2.598
"130",0.504118813120636,2.677
"131",0.557290480565636,2.597
"132",0.495838545386409,2.61
"133",0.491908087251226,2.566
"134",0.563614324966727,2.607
"135",0.455026925758805,2.473
"136",0.504488730177285,2.152
"137",0.577630138023404,2.843
"138",0.577972381483598,2.518
"139",0.578237974338992,2.812
"140",0.585605253667883,1.726
"141",0.542420663546953,5.796
"142",0.539039184247985,3.002
"143",0.470281074275028,2.545
"144",0.51271849077095,2.405
"145",0.531961993693126,2.575
"146",0.404419773641163,2.739
"147",0.562027635555854,2.478
"148",0.50630535105776,2.494
"149",0.481812205050083,2.702
"150",0.533727083696449,2.211
"151",0.560294969065884,2.564
"152",0.598481130224758,2.375
"153",0.547162156548194,2.325
"154",0.537137804448835,1.979
"155",0.527016099011844,5.51
"156",0.567503120048703,2.973
"157",0.467841011137921,2.702
"158",0.405500144948365,2.394
"159",0.611287121561897,2.852
"160",0.574382844128579,2.442
"161",0.567759197945413,2.533
"162",0.581096718248523,2.469
"163",0.501612786141326,2.604
"164",0.480726716325634,2.642
"165",0.558942995272801,2.754
"166",0.54295067500961,2.438
"167",0.506721088372298,2.551
"168",0.599657327865353,1.781
"169",0.490808353303673,5.435
"170",0.570914275192696,2.437
"171",0.55454234001387,2.866
"172",0.41892722910837,2.192
"173",0.524887271537658,2.45
"174",0.475391002493422,2.428
"175",0.563886970249639,2.431
"176",0.587835587374626,2.44
"177",0.565315018252879,2.477
"178",0.515106105237997,2.094
"179",0.585813056089769,2.481
"180",0.56611537953203,2.52
"181",0.489798943056041,2.117
"182",0.48593098587035,2.422
"183",0.575432129303139,5.627
"184",0.455611573739902,2.355
"185",0.457263835503945,2.77
"186",0.527935694170198,2.436
"187",0.50218399587172,2.724
"188",0.574592194022036,2.703
"189",0.52253067564177,2.496
"190",0.589225430800352,2.434
"191",0.577806957505714,2.496
"192",0.412520654594229,2.303
"193",0.512402272284705,2.67
"194",0.513115333524751,2.463
"195",0.532624872324583,2.494
"196",0.541839909620693,2.285
"197",0.523006227084385,5.778
"198",0.528607741478741,2.508
"199",0.488583160006148,2.989
"200",0.560877024601822,2.055
"201",0.519785664584282,2.421
"202",0.496010106836697,2.57
"203",0.435611240389859,2.43
"204",0.53175542354309,2.025
"205",0.545877826800962,2.508
"206",0.515506072669873,2.374
"207",0.498702723162715,2.276
"208",0.505591087866435,2.517
"209",0.542487040420582,2.023
"210",0.470159019372092,2.384
"211",0.594905826105652,5.575
"212",0.526513665952846,2.747
"213",0.496391570164127,2.908
"214",0.571783076546435,2.571
"215",0.531441062382276,2.54
"216",0.53857606992334,2.839
"217",0.54298727140803,2.458
"218",0.524193004210348,2.463
"219",0.578874740461636,2.51
"220",0.61478041024553,2.502
"221",0.588428638032799,2.563
"222",0.520763624968981,2.607
"223",0.505374758300705,2.831
"224",0.515198875938001,1.73699999999999
"225",0.571800821003031,5.513
"226",0.456552415428679,2.532
"227",0.493962100875333,2.714
"228",0.533465264189922,2.362
"229",0.555626324430954,2.296
"230",0.545909969935065,2.778
"231",0.548950146224021,2.574
"232",0.481743589511667,2.443
"233",0.510804361292897,2.263
"234",0.517880781504756,2.408
"235",0.561955679118799,2.345
"236",0.531159223593716,2.51
"237",0.53296280611645,2.356
"238",0.492882895343704,2.238
"239",0.495997386533403,5.814
"240",0.558591012212845,2.634
"241",0.440795553918474,2.731
"242",0.528769076555079,2.38
"243",0.576135092017202,2.607
"244",0.524649023404357,2.754
"245",0.505531287222841,2.416
"246",0.580742162263143,2.403
"247",0.619205570210292,2.476
"248",0.540321581233328,2.389
"249",0.498558693732846,2.098
"250",0.427716604806273,2.454
