"","acc","penG","penE","subset","comptimes"
"1",0.489432026226667,0.0508751391387797,0.00590754952596411,"F1-F2-F3-F5-F6-F7",3.492
"2",0.528322508552895,0.0557630802301008,0.00555462522961379,"F2-F3-F4-F5-F6",1.777
"3",0.531349264580573,0.0520960753399857,0.00607137009379823,"F1-F4-F5-F6",1.552
"4",0.444630553962138,0.0541805770333471,0.0056230041305071,"F1-F2-F3-F4-F5-F6",2.241
"5",0.560666777315911,0.0528729275669372,0.00571927993310404,"F2-F3-F5-F6",1.599
"6",0.541180215531654,0.0515954201464221,0.00588985389115905,"F1-F2-F3-F4-F5-F6-F7",2.32
"7",0.557779494466865,0.0556669832350963,0.00641827635994256,"F1-F2-F3-F4-F5-F6",2.1
"8",0.481357407747565,0.059780573726495,0.0056033840683663,"F1-F2-F3-F5",1.459
"9",0.54838842589126,0.0500201700216265,0.00553737074255612,"F1-F2-F3-F4-F5-F6",2.081
"10",0.497452219080535,0.0607327673757037,0.00600147114253315,"F1-F2-F3-F4-F5-F6",1.998
"11",0.416075627581358,0.051030239376738,0.00498185702862323,"F1-F3-F4-F5-F6",1.752
"12",0.538326832972082,0.0525520458943031,0.00580095821019393,"F1-F3-F4-F6",1.442
"13",0.466261546344163,0.0578441720976247,0.00587674291543549,"F1-F2-F3-F5",1.595
"14",0.503440866666487,0.0544254470238542,0.00581754524648617,"F1-F3-F4-F6",1.545
"15",0.453661543094138,0.0522278726141266,0.00559077380124522,"F1-F3-F5-F6",1.757
"16",0.513135626488572,0.0570213960565968,0.00679417085136018,"F2-F3-F4-F5-F6-F7",2.157
"17",0.53753179385283,0.060968383641845,0.00539092446200628,"F1-F2-F3-F4-F5-F6",2.151
"18",0.464949354074845,0.0565029951358936,0.0050245843110755,"F1-F3-F5-F6",1.613
"19",0.517382644305852,0.0533239755499855,0.0050159627799797,"F1-F3-F4-F5-F6",1.693
"20",0.511463836842964,0.0520527688385238,0.00606936066070128,"F1-F2-F3-F5-F6",1.736
"21",0.468548850411669,0.0546214935690477,0.00582973994357345,"F2-F3-F5-F6",1.55
"22",0.52234478787751,0.0560976232383179,0.00561201286361447,"F1-F3-F4-F5-F6",1.795
"23",0.549790312326792,0.0534163078193092,0.00520421160771584,"F1-F2-F4-F5-F6",1.739
"24",0.438617849192358,0.0501401138495959,0.00587179155055263,"F1-F2-F3-F4-F5-F6-F7",2.315
"25",0.529399473651685,0.0574171555954869,0.00548404196871632,"F1-F3-F4-F5-F6",1.72900000000001
"26",0.508557925296471,0.0494813933690493,0.00517413268866426,"F2-F4-F5-F6",1.682
"27",0.51929809156892,0.057179506033317,0.00538955578445804,"F2-F3-F4-F5-F6",1.79
"28",0.531044557099066,0.0540908518542029,0.00551507554756262,"F1-F3-F4-F6",1.493
"29",0.524356476631604,0.0582156948794702,0.00603349583009313,"F4-F5-F6",1.291
