"","acc","pen","comptimes"
"1",0.654994855362351,0.00439320227793499,54.373
"2",0.757821273978618,0.00560696841723621,55.482
"3",0.708098215954481,0.00388984472725367,46.659
"4",0.681913140356602,0.00484813955786079,44.301
"5",0.71142560777423,0.00516044033827928,46.418
"6",0.705100428003199,0.00459065793928849,46.191
"7",0.73131687192726,0.00465137709532084,48.183
"8",0.695322397616186,0.00473461549255406,51.996
"9",0.692669718448233,0.00516630212781081,41.791
"10",0.679756372921841,0.00424544654569712,44.868
"11",0.678159638180398,0.00386489176809031,48.128
"12",0.728930696923123,0.00446960685983216,50.369
"13",0.68885546539784,0.00404015071888339,47.7379999999999
"14",0.675816210871636,0.00422237677813483,41.467
"15",0.686728721531597,0.00377599757027274,50.759
"16",0.699546279517711,0.00483527060759374,49.629
"17",0.700785407267989,0.00447999448435154,47.109
"18",0.732298605630421,0.00403576238381114,54.427
"19",0.716335607784782,0.00530533084434518,50.545
"20",0.683422822410807,0.00439870786195147,51.954
"21",0.693326176155568,0.00399596384531455,50.236
"22",0.691480624952957,0.00406105059673126,50.884
"23",0.750913387071112,0.00398238723641796,48.3
"24",0.697281862028883,0.00447547379525841,48.548
"25",0.688988900527431,0.00479670842431753,49.061
"26",0.690259744421385,0.00367477347854196,50.074
"27",0.748351050411928,0.00352496348673685,50.394
"28",0.723462669809412,0.003985258163118,33.162
"29",0.713665966097431,0.0049191060347653,49.365
"30",0.734270962758699,0.00449228721204018,51.54
"31",0.756791444728011,0.00428268224052682,50.834
"32",0.697314433789851,0.00385540006137002,48.869
"33",0.746719879506882,0.00418787925560267,45.05
"34",0.690343922393284,0.00395686305541157,45.299
"35",0.749930800813029,0.00445621936660576,53.396
"36",0.681726985982601,0.00478238322668505,51.564
"37",0.699676408559797,0.00451274578039006,47.053
"38",0.705455846471163,0.00432747527046299,58.767
"39",0.755057065887512,0.0039818314249146,46.838
"40",0.714486465008504,0.00428824443467093,52.547
"41",0.712421940274194,0.00448489692715213,49.3680000000001
"42",0.642106610578957,0.00429115182459086,36.538
"43",0.74907271985475,0.00475313219963805,51.744
"44",0.782023205857599,0.00376705101788059,46.165
"45",0.727224567328599,0.00404041574892711,46.428
"46",0.711212794935728,0.00440263771602532,46.805
"47",0.700000975813168,0.00526082274043532,44.73
"48",0.666989486891757,0.00389054005036435,48.828
"49",0.727431501715538,0.00355264901432434,49.26
"50",0.755858252903743,0.00358295174157296,46.016
"51",0.727668809865044,0.00446034977958198,52.735
"52",0.718901582855033,0.00443932409261069,56.8440000000001
"53",0.70668204666582,0.00451159569131127,44.844
"54",0.711744291144282,0.00435624936844923,47.24
"55",0.703569196445796,0.0042188976917832,42.052
"56",0.731738256627836,0.00433159361938751,40.857
"57",0.722835607810469,0.00315851619199448,54.638
"58",0.723507331962471,0.00499751055807446,48.079
"59",0.727984411244884,0.00378210015483356,46.042
"60",0.733367749885968,0.00400609715798799,57.876
"61",0.706996511488225,0.0049803455970349,46.089
"62",0.766791972990606,0.00400329250684026,54.844
"63",0.682477905484291,0.00489142836109328,42.175
"64",0.671091245739679,0.00424439558392033,52.275
"65",0.677386041131631,0.00432816644551928,48.862
"66",0.657781933395329,0.00507354158454038,50.754
"67",0.740599028805418,0.00468870586607532,45.122
