"","X","acc","comptimes"
"1",1,0.837273490232937,706.540999999997
"2",2,0.804404174029812,729.428000000014
"3",3,0.786848780916585,708.439000000013
"4",4,0.85673056929637,703.974999999977
"5",1,0.788727179145275,555.993000000017
"6",2,0.814466490270833,2022.40899999999
"7",3,0.846088577076847,562.102000000014
"8",4,0.798924484810301,551.23000000001
"9",1,0.814612936633075,482.290999999997
"10",2,0.844396357873045,478.045000000013
"11",3,0.813618700676194,473.532999999996
"12",4,0.800722880760894,479.478000000003
"13",1,0.838988064781651,539.857000000018
"14",2,0.774030679259679,559.999000000011
"15",3,0.803887753531356,538.387000000017
"16",4,0.798883190878215,473.694000000018
"17",1,0.828315011470497,578.635999999999
"18",2,0.854528030330221,489.445999999996
"19",3,0.820583555910791,477.200000000012
"20",4,0.795922557514012,482.063000000024
