"","X","acc","comptimes"
"1",1,0.519932254376091,660.647000000001
"2",2,0.536121951261894,655.613999999998
"3",3,0.518890796199899,671.893
"4",4,0.578009618088972,620.432000000001
"5",1,0.460369720773256,541.902000000002
"6",2,0.353485807718857,555.084999999999
"7",3,0.632149496248407,534.911
"8",4,0.479813266507967,536.499
"9",1,0.53969968088989,377.444
"10",2,0.506719011451209,372.177
"11",3,0.522281868512416,378.941000000001
"12",4,0.490678588325725,375.505000000001
"13",1,0.408267076468275,371.785
"14",2,0.401305345950407,373.838
"15",3,0.446864235325746,370.201000000001
"16",4,0.480469619631645,374.830999999998
"17",1,0.604202332842262,366.342999999999
"18",2,0.574617726888097,368.388999999999
"19",3,0.607606900601493,372.562
"20",4,0.493290896228701,367.151
