"","X","acc","comptimes","pen"
"1",1,0.360260299658048,139.713,0.366629835644839
"2",2,0.587125563007203,150.092,0.361473490205569
"3",3,0.449934535830247,135.001,0.354849164244383
"4",4,0.554804324194445,158.865,0.357491935430935
"5",5,0.49977528592775,154.964,0.361939172953786
"6",6,0.419860474991631,147.833,0.365940199097742
"7",7,0.646711923625394,148.42,0.358938947535719
"8",8,0.565205678818105,147.644,0.366926122890486
"9",9,0.633268799553673,153.079,0.355504259183247
"10",10,0.523403906476091,143.159,0.357598169024668
"11",11,0.614343311261212,140.515,0.359541228160144
"12",12,0.632459102030367,150.362,0.358625866506912
"13",13,0.595257052239535,156,0.368576833645476
"14",14,0.541920169137148,141.238,0.365196856409284
"15",15,0.48953592388109,155.533,0.362691144441767
"16",16,0.575590022622659,179.609,0.361273165500182
"17",17,0.448416982054978,150.119,0.356304980683887
"18",18,0.581315129740471,135.674,0.370380885648058
"19",19,0.536579581910916,135.377,0.367467474708733
"20",20,0.609766716064095,136.015,0.35868220098756
"21",21,0.423770071369213,148.382,0.36069760352576
"22",22,0.510078091955812,159.658,0.362536149198719
"23",23,0.567753579619979,159.545,0.359207424874412
"24",24,0.629134678528376,154.889,0.357419167931474
"25",25,0.551841604039132,151.96,0.360425182701163
"26",26,0.614187664345553,133.014,0.368699312115868
"27",27,0.460353891277602,153.363,0.363076256311865
"28",28,0.610486921723228,143.807,0.361918883808106
"29",29,0.658743236922224,137.450000000001,0.363902089236249
"30",30,0.505138162178418,147.825,0.361027220971672
"31",31,0.520541068784264,155.631,0.361556280963226
"32",32,0.448595410006035,149.224999999999,0.368972499669279
"33",33,0.537162234191994,149.324000000001,0.361011013869625
"34",34,0.684917360033818,144.561000000001,0.363219145078074
"35",35,0.475219226891811,153.521,0.360381704466408
"36",36,0.574444573445799,148.634999999999,0.366103185682427
"37",37,0.538524303071987,144.612,0.358754323589258
"38",38,0.502721473363384,149.376,0.359040930379243
"39",39,0.613654967890891,151.634,0.359427374165736
"40",40,0.604506631572474,141.036,0.356173151864644
"41",41,0.600390425402177,135.972,0.364099389639104
"42",42,0.625441062997193,145.197,0.36616290455311
"43",43,0.618604907402327,147.058999999999,0.365373956825195
"44",44,0.490964008234407,183.021,0.35869133816082
"45",45,0.607844335711094,154.177000000001,0.360698475193152
"46",46,0.633178980340696,142.643,0.365972223178933
"47",47,0.663001595011302,81.6939999999995,0.374979494551785
"48",48,0.464482359150591,86.0829999999996,0.354322742698372
"49",49,0.673118987605868,75.5170000000007,0.368805885390633
"50",50,0.591131849241906,103.793,0.365246596092931
"51",1,0.658543568265424,156.763,0.357694547315307
"52",2,0.48007032359506,142.944,0.373019493125247
"53",3,0.686420286931526,149.5,0.359095894877064
"54",4,0.608311988572714,150.376,0.361107045423436
"55",5,0.557062952322386,206.755,0.348204806515243
"56",6,0.641480274482293,142.759,0.364626126572097
"57",7,0.551103436896309,190.633,0.365784484793781
"58",8,0.599741899197638,143.572,0.354144187651504
"59",9,0.419674625910007,160.713,0.35343994055301
"60",10,0.645613523077937,146.035,0.371623329471294
"61",11,0.607728275155865,150.832,0.354480177121527
"62",12,0.549455118548195,149.662,0.368009840783394
"63",13,0.547405145633282,147.116,0.366225522670935
"64",14,0.473767776086362,143.738,0.362027492642963
"65",15,0.671178534636615,141.009,0.360317359478862
"66",16,0.580268109425392,142.3,0.369042212074124
"67",17,0.590622830858413,144.85,0.366256866813087
"68",18,0.598839631192555,164.111,0.361199641949543
"69",19,0.617834151569588,132.189,0.373990111791444
"70",20,0.663490819291439,147.081,0.357791723693409
"71",21,0.565971666655345,144.484,0.366736369936027
"72",22,0.556051463824232,156.968,0.365678942400408
"73",23,0.480195568944251,159.311,0.358356121155774
"74",24,0.474468161857729,158.33,0.361920285611329
"75",25,0.475166282451823,157.707,0.365959921525637
"76",26,0.629466893010085,144.296,0.358278323394353
"77",27,0.615905446667429,174.104,0.362511044641033
"78",28,0.611852697058044,150.713,0.361121216382634
"79",29,0.69211986978887,141.695000000001,0.367821287246267
"80",30,0.504558546562136,152.253000000001,0.36434662737153
"81",31,0.581614766173528,161.206,0.358754934674593
"82",32,0.621544919944054,163.424,0.364897042535703
"83",33,0.50672673739007,158.976000000001,0.355072307443434
"84",34,0.489077284275723,179.449,0.359940804954562
"85",35,0.436829764657026,150.982,0.362813299922693
"86",36,0.607975708618946,144.844,0.367220806488
"87",37,0.524640145183337,139.544,0.36591776556658
"88",38,0.593916569242262,154.900000000001,0.362653392860559
"89",39,0.580795430986453,148.034,0.362001977191002
"90",40,0.57825400075988,174.916999999999,0.36505000610625
"91",41,0.497081435033866,144.958000000001,0.358338279325809
"92",42,0.529213767122719,141.079,0.366485803956536
"93",43,0.501621554793581,141.949000000001,0.362014961911265
"94",44,0.690439592690595,141.575,0.363914012853517
"95",45,0.524795068644008,132.975,0.365985936837429
"96",46,0.584794338100596,117.717,0.362333053790803
"97",47,0.457819361049983,86.5930000000008,0.362945118934545
"98",48,0.53068661645528,86.9749999999995,0.36750357030654
"99",49,0.564440952377518,82.8299999999999,0.360389073671976
"100",50,0.448752849619763,83.7289999999994,0.362905580905621
