"","X","acc","comptimes"
"1",1,0.396992292073753,287.254999999997
"2",2,0.559502303648334,277.959000000003
"3",3,0.37113807048415,281.254999999997
"4",4,0.558544562585186,280.448000000004
"5",1,0.396290336912073,281.755000000005
"6",2,0.436288356272256,283.452000000005
"7",3,0.66312030508269,283.317000000003
"8",4,0.527622517471633,281.767
"9",1,0.629987055024558,282.951000000001
"10",2,0.450937123812338,280.093999999997
"11",3,0.656508863374942,282.404999999999
"12",4,0.585850182419281,281.485999999997
"13",1,0.584654555645559,281.847000000002
"14",2,0.564932254109881,280.745999999999
"15",3,0.472568314514335,283.925000000003
"16",4,0.602164991809594,282.389999999999
"17",1,0.469424508083744,278.831000000006
"18",2,0.629841798995096,281.235000000001
"19",3,0.623980600662725,280.853000000003
"20",4,0.647116270320078,276.846999999994
