"","X","acc","comptimes"
"1",1,0.499877002809192,219.873
"2",2,0.571667728597323,218.437999999998
"3",3,0.467348179543517,218.201000000001
"4",4,0.591016014165437,217.543000000001
"5",1,0.572169305969264,218.268
"6",2,0.49579578965792,219.290000000001
"7",3,0.657119200427305,218.800999999999
"8",4,0.601557348907824,218.852999999999
"9",1,0.629265261892293,217.664000000001
"10",2,0.555717410904456,220.212
"11",3,0.662271336058013,214.902000000002
"12",4,0.661242521698447,216.485000000001
"13",1,0.619491524742841,220.922999999999
"14",2,0.517030902856325,218.672999999999
"15",3,0.544353919845187,220.886999999999
"16",4,0.625269420719411,220.906999999999
"17",1,0.512499395581277,223.416000000001
"18",2,0.59146531913563,226.077000000001
"19",3,0.630334199322299,220.941000000003
"20",4,0.609108803559289,220.462
