"","X","acc","comptimes","archs"
"1",1,-0.0686994814448982,61.6199999999999,"multiMLP_L4_N16_D0.3_CV1"
"2",2,0.153155536636112,49.8400000000001,"multiMLP_L4_N64_D0.3_CV1"
"3",3,0.108466605274266,48.6300000000001,"multiMLP_L4_N64_D0.3_CV1"
"4",4,0.0627024333061392,49.2799999999997,"multiMLP_L8_N64_D0.3_CV1"
"5",5,-0.132446904672557,47.3500000000004,"multiMLP_L4_N16_D0.3_CV1"
"6",6,-0.0230250360291177,47.7799999999997,"multiMLP_L4_N64_D0.3_CV1"
"7",7,0.00332618863143495,46.8299999999999,"multiMLP_L8_N64_D0.1_CV1"
"8",8,-0.0708781965757834,47.9899999999998,"multiMLP_L4_N64_D0.3_CV1"
"9",9,-0.129478433607355,49.8800000000001,"multiMLP_L4_N64_D0.3_CV1"
"10",10,-0.0082320070168209,46.8699999999999,"multiMLP_L8_N64_D0.3_CV1"
"11",1,0.0278928579131947,46.9400000000005,"multiMLP_L4_N16_D0.1_CV1"
"12",2,-0.122288974421555,62.6000000000004,"multiMLP_L4_N64_D0.1_CV1"
"13",3,-0.0187733940963592,48.5299999999997,"multiMLP_L8_N16_D0.3_CV1"
"14",4,-0.0228933756580802,47.3900000000003,"multiMLP_L8_N64_D0.3_CV1"
"15",5,-0.0367178137975084,46.0299999999997,"multiMLP_L4_N16_D0.1_CV1"
"16",6,0.116569996870408,48.4300000000003,"multiMLP_L4_N16_D0.3_CV1"
"17",7,-0.00732879594373567,47.4800000000005,"multiMLP_L8_N64_D0.3_CV1"
"18",8,-0.0329450309446361,48.79,"multiMLP_L4_N64_D0.1_CV1"
"19",9,0.132288377050215,47.4399999999996,"multiMLP_L8_N64_D0.3_CV1"
"20",10,0.0503946382938712,47.1599999999999,"multiMLP_L8_N16_D0.1_CV1"
