"","X","acc","comptimes","pen"
"1",1,0.432168613687133,135.656,0.43191889872803
"2",2,0.475272541813715,138.182,0.433403351619644
"3",3,0.328457993943674,134.481,0.42710119990371
"4",4,0.451359417051914,120.087,0.426844113232221
"5",5,0.484687757691473,126.924,0.433556408530964
"6",6,0.465978544552357,144.362,0.438432531661307
"7",7,0.632977720021706,132.821,0.427875426074901
"8",8,0.510814903608147,124.485,0.449509107604063
"9",9,0.572398764406296,137.179,0.418674153405239
"10",10,0.583934882652029,133.385,0.425300117372669
"11",11,0.635628841415974,130.709,0.433603738501914
"12",12,0.566093098367193,139.399,0.427233081060064
"13",13,0.511751891914842,146.644,0.444569521174554
"14",14,0.458978165269993,138.962,0.438591670547517
"15",15,0.473356975411823,133.77,0.43338657151587
"16",16,0.505472596287862,155.042,0.433886506432873
"17",17,0.434830432030575,136.923,0.422502954417188
"18",18,0.519783660528672,143.551,0.444722751792594
"19",19,0.491378500277802,130.271,0.443498860341863
"20",20,0.565602998059475,130.412,0.425494948406318
"21",21,0.404931514899973,141.321,0.429648387763355
"22",22,0.37203226844187,126.7,0.435596882942481
"23",23,0.580062965048381,126.548,0.42445354727547
"24",24,0.563522316057878,144.751,0.421703113363139
"25",25,0.527246828455247,135.71,0.426990237011648
"26",26,0.63074565006903,134.041,0.449304793068526
"27",27,0.443482891978248,155.316,0.438127830327161
"28",28,0.591614986603122,133.454,0.426022193056502
"29",29,0.611959602207835,127.697,0.438932587868713
"30",30,0.520729283376951,140.332,0.43032840777884
"31",31,0.541328242038941,136.570999999999,0.433654955669944
"32",32,0.453023975906705,134.516000000001,0.447881502160676
"33",33,0.522324287017058,125.015,0.433618701448394
"34",34,0.670428175346924,145.616,0.433341537166154
"35",35,0.462328328964252,124.829,0.426951205059339
"36",36,0.620231419046384,195.172,0.441382224270487
"37",37,0.526416031351403,149.669,0.434631071128542
"38",38,0.414656649550119,131.735,0.428257401947545
"39",39,0.57477712852585,128.286,0.429672674991174
"40",40,0.611831850452586,131.031,0.424497296591214
"41",41,0.502788651426429,128.795,0.437294404237317
"42",42,0.61691104519383,129.714,0.438476396347572
"43",43,0.490127532736376,130.348,0.440394756076696
"44",44,0.369396147864305,123.281,0.43253770112356
"45",45,0.560041973168768,123.84,0.432611991313451
"46",46,0.557089539366667,137.7,0.441385869751972
"47",47,0.496783434363347,139.329,0.461533048646845
"48",48,0.471681896974118,128.217000000001,0.424454753011907
"49",49,0.59499138948426,139.742999999999,0.448964884160523
"50",50,0.534491359955827,122.348,0.441059462302676
"51",1,0.612435628918821,146.985,0.420782033375935
"52",2,0.51945682988621,140.277,0.456685247555452
"53",3,0.579066990705925,141.209,0.423151678005637
"54",4,0.546576738811844,125.827,0.433925325865112
"55",5,0.511597425875232,131.292,0.410074545351659
"56",6,0.507501775979419,149.433,0.443676598933243
"57",7,0.551446501209395,145.736,0.44599933293868
"58",8,0.465280096220427,115.501,0.410744080882089
"59",9,0.529515976913291,131.458,0.413979703817975
"60",10,0.550602938745834,141.698,0.449912487523775
"61",11,0.690133270642156,138.496,0.424452835834377
"62",12,0.542670302400825,141.329,0.448443601262323
"63",13,0.409411289267633,141.414,0.443219338493901
"64",14,0.414725677814181,152.286,0.435632134642053
"65",15,0.640491349584121,135.789,0.431705056283967
"66",16,0.532362125803068,145.371,0.444903345050933
"67",17,0.579631885695109,156.324,0.4441554154568
"68",18,0.546718042263147,128.723,0.432643527751575
"69",19,0.535662933026755,147.69,0.459441180580654
"70",20,0.677044188455096,173.98,0.431696446165982
"71",21,0.525732078209526,146.378,0.448832175554707
"72",22,0.600037413178688,132.553,0.437356789844008
"73",23,0.412247987941625,134.582,0.433654081914909
"74",24,0.504223953895969,147.286,0.434770960350932
"75",25,0.301813847488217,147.013,0.448419773580196
"76",26,0.520228625884899,128.415,0.427413374311759
"77",27,0.631711063692879,127.415,0.433727532543761
"78",28,0.614300867601831,131.615,0.435830681459261
"79",29,0.733021991823145,137.258,0.446018158445497
"80",30,0.503528531517478,126.017,0.436794469308482
"81",31,0.5613733557079,127.967,0.428279859323737
"82",32,0.462792468055759,141.764999999999,0.439511414905555
"83",33,0.501877015194962,127.925,0.427537064116512
"84",34,0.419969564157614,128.496,0.429116579791572
"85",35,0.374016260015283,146.407,0.441999201351191
"86",36,0.569833919501492,147.259999999999,0.442521882926927
"87",37,0.492701572128974,149.569,0.442961246690886
"88",38,0.489186962272464,132.34,0.432206364603879
"89",39,0.506760810706172,136.761,0.433072126502497
"90",40,0.539716059703926,131.41,0.444018005885326
"91",41,0.43535132162517,138.906,0.428097392851918
"92",42,0.426272017475705,136.504,0.443275406963065
"93",43,0.496034550326734,125.272000000001,0.430041961691607
"94",44,0.660434691131855,144.051,0.436247648413572
"95",45,0.462379466147812,145.355,0.442655311704265
"96",46,0.50096737441817,159.374,0.435276641228666
"97",47,0.397213153990124,139.471,0.441335599598723
"98",48,0.568214558012556,139.062,0.446698167731132
"99",49,0.442023570705761,133.842000000001,0.435650293195693
"100",50,0.51280243823043,87.491,0.433508803361016
