"","X","acc","comptimes","archs"
"1",1,-0.000115457651725836,51.5800000000017,"multiMLP_L8_N64_D0.1_CV1"
"2",2,0.0853588912887378,51.119999999999,"multiMLP_L8_N64_D0.3_CV1"
"3",3,0.109613215821577,52.7699999999968,"multiMLP_L4_N64_D0.1_CV1"
"4",4,0.0523611215323237,396.66,"multiMLP_L4_N64_D0.3_CV1"
"5",5,-0.0663097748074903,68.6000000000022,"multiMLP_L4_N16_D0.1_CV1"
"6",6,0.0879951930191266,65.8599999999969,"multiMLP_L4_N16_D0.1_CV1"
"7",7,-0.0944054861473586,62.0900000000001,"multiMLP_L8_N16_D0.1_CV1"
"8",8,-0.0356587387017338,62.5699999999997,"multiMLP_L4_N16_D0.1_CV1"
"9",9,0.411681633514824,65.75,"multiMLP_L4_N64_D0.1_CV1"
"10",10,0.105695156242573,60.9400000000023,"multiMLP_L8_N16_D0.3_CV1"
"11",1,-0.0767052584119319,50.3600000000006,"multiMLP_L8_N64_D0.3_CV1"
"12",2,0.314408506002034,54.2000000000007,"multiMLP_L4_N64_D0.1_CV1"
"13",3,0.0929793449234179,51.3199999999997,"multiMLP_L8_N64_D0.1_CV1"
"14",4,0.0849592201735677,50.75,"multiMLP_L4_N64_D0.3_CV1"
"15",5,0.0519137091526326,50.260000000002,"multiMLP_L8_N64_D0.1_CV1"
"16",6,0.227628239519875,51.0900000000001,"multiMLP_L4_N64_D0.1_CV1"
"17",7,-0.133926030740186,51.0900000000001,"multiMLP_L4_N64_D0.3_CV1"
"18",8,0.0205998592230552,51.9099999999999,"multiMLP_L4_N64_D0.1_CV1"
"19",9,0.063163393544613,51.5,"multiMLP_L4_N64_D0.3_CV1"
"20",10,-0.0864502064057215,460.779999999999,"multiMLP_L4_N64_D0.1_CV1"
