"","acc","pen","comptimes"
"1",0.331672542169628,0.00441093597512849,56.348
"2",0.436511659793901,0.00409056761222919,63.652
"3",0.400694938917967,0.0048505708082885,71.39
"4",0.333418296981768,0.00486679700668191,68.813
"5",0.384826116922643,0.00437584770270173,63.012
"6",0.365176303864002,0.00430371460361665,71.468
"7",0.392839480374875,0.00415541233394618,62.518
"8",0.418427123277113,0.00425718146816581,69.819
"9",0.365163358517797,0.00456515453534576,66.721
"10",0.359180512025817,0.00481475526024007,67.249
"11",0.443800018146285,0.00455477000537815,66.723
"12",0.326299723963864,0.00482968541602304,66.8920000000001
"13",0.358698948308115,0.00347889419565615,66.817
"14",0.378197152832469,0.0040737799175096,55.657
"15",0.351610921865981,0.00416576666597134,55.695
"16",0.320761756741835,0.00399014481602733,65.843
"17",0.42507095432509,0.00445630688863425,71.069
"18",0.461523421123874,0.00474130337441257,68.806
"19",0.426912283312718,0.00348128849128163,63.662
"20",0.422880136509788,0.0044402440166875,71.821
"21",0.416087733597217,0.00404589853465254,67.903
"22",0.42925763633713,0.00402975622174895,67.4570000000001
"23",0.311010268658544,0.0034655808306818,68.516
"24",0.323387431629669,0.00379751373059361,63.9490000000001
"25",0.326863619037508,0.00504444284434884,62.038
"26",0.370251412928409,0.0046274474327312,70.162
"27",0.353576691734568,0.00423473646452792,59.535
"28",0.404753817772512,0.00396127796646131,58.74
"29",0.392517660768589,0.0038170970499637,55.204
"30",0.275403178683962,0.00521092580009084,62.996
"31",0.380319131013354,0.00384247507073468,70.491
"32",0.370221367519605,0.00356040210861438,71.709
"33",0.386476782058701,0.00414260804566493,60.928
"34",0.42239264823839,0.00357262593496658,68.107
"35",0.366774449025465,0.00477599477853756,67.818
"36",0.47743052568862,0.00413686605130473,65.831
"37",0.322778837378759,0.00387231104060363,65.059
"38",0.399147510086873,0.00462714894573001,65.467
"39",0.424320078919115,0.00418008638526686,69.211
"40",0.489093177119272,0.00535925783429863,64.7810000000001
"41",0.448299213577527,0.00363960515775287,63.178
"42",0.421029539839716,0.00405312168100554,61.806
"43",0.341262325382801,0.00411576558002124,55.056
"44",0.445261179816699,0.00454603493108168,65.896
"45",0.491459895816142,0.00513729213898124,67.815
"46",0.399170077948112,0.0048069991863311,70.175
"47",0.353967685082623,0.00398051169843614,64.348
"48",0.304822200042806,0.00407520897639391,64.628
"49",0.441196213352214,0.00438841878919879,66.704
"50",0.398602709698893,0.00492787494317298,61.074
"51",0.37353912941068,0.00484988278026763,64.229
"52",0.342022340100795,0.00414862897402463,65
"53",0.471649982220699,0.00386924017192841,65.5770000000001
"54",0.455947855556442,0.00467608045593634,68.6999999999999
"55",0.348530691187136,0.00441562832909452,65.595
"56",0.341558634284754,0.00392089115206317,60.6569999999999
"57",0.344295046008434,0.0044115110573254,58.246
"58",0.363112307815908,0.00428765121349466,72.176
"59",0.321459834905996,0.00421315579477967,75.722
"60",0.376754803644024,0.00427464784285984,70.943
"61",0.402332544070309,0.00365644545841717,67.177
"62",0.448674910801286,0.00482081602970732,62.766
"63",0.426217752755414,0.00349389308493221,70.011
"64",0.361724916507437,0.00363468284818204,67.197
"65",0.438947912128567,0.00383994188596187,64.567
"66",0.470178469096601,0.00425809507115797,69.8770000000001
"67",0.515552049535466,0.00334485178171158,67.356
"68",0.311438450668132,0.00394313449681817,67.711
"69",0.405963206408682,0.00397010205527165,61.8869999999999
"70",0.361709784502271,0.00442902215161109,46.1609999999999
"71",0.438391626468279,0.00362537529822981,55.418
"72",0.292300578653034,0.00382376059196413,64.086
"73",0.483655886874788,0.00427503861316954,72.49
"74",0.26906241606645,0.00460098923013868,75.202
"75",0.257724761341732,0.00416318394068715,66.163
"76",0.423063757873609,0.00467615846944245,70.024
"77",0.389008999419487,0.00445909288849801,67.63
"78",0.217359417774706,0.00430000928860178,69.924
"79",0.427519098087716,0.00451189480693045,63.785
"80",0.367472292608912,0.00474502167327843,69.832
"81",0.363730034953098,0.00426061880332454,68.2049999999999
"82",0.310079791108108,0.00480295708374344,64.252
"83",0.471478207226383,0.00372150480630504,62.196
"84",0.478496312441011,0.00544755604697712,49.08
"85",0.341023800961718,0.00425470725096624,55.224
"86",0.427146495880829,0.00528569265497315,60.153
"87",0.366813150034772,0.00367412218526626,75.807
"88",0.34270179765996,0.00426541909899234,74.199
"89",0.365592875650354,0.00360931976067973,66.317
"90",0.443836814602032,0.00417281393873958,68.498
"91",0.317085801901724,0.00531925141584115,60.471
"92",0.371866295310065,0.00388225470891421,61.967
"93",0.282714181981035,0.00408782131384136,70.0980000000001
"94",0.370692957046057,0.00395898235361305,67.9069999999999
"95",0.386821661491308,0.00503716458548734,61.5369999999999
"96",0.420666396649711,0.00504832824497559,60.431
"97",0.375611612095859,0.00383974607429074,60.188
"98",0.397538946085696,0.00414213752415975,60.3599999999999
"99",0.254294139452436,0.00425112015502254,57.898
"100",0.330744743381484,0.0036263721689256,58.377
"101",0.447082361191921,0.00513226982546391,66.086
"102",0.45728733130315,0.00412720225226984,70.049
"103",0.427758397315884,0.00425504488243035,64.105
"104",0.242036965371866,0.0045359146973662,66.702
"105",0.353596724123766,0.00428397893978319,65.589
"106",0.423100058915468,0.00445546776255846,64.301
"107",0.297775740371314,0.00443520078816392,65.965
"108",0.399186274271892,0.00411654351699955,64.735
"109",0.372860693313381,0.0038090088078648,64.509
"110",0.433918370781453,0.00455251488372244,69.13
"111",0.315598952220562,0.00372971869849246,63.183
"112",0.351361820843145,0.00465086015844398,62.425
"113",0.363271697180393,0.00433853639681461,59.254
