"","acc","acc.RC","comptimes"
"1",0.695159564265892,0.760221731244638,15.109
"2",0.732262288089295,0.80315835108332,12.879
"3",0.70438233695328,0.748254365875575,11.576
"4",0.778918415288156,0.820297080887738,12.636
"5",0.713125467856411,0.765982506480228,11.826
"6",0.770350463337248,0.838859657550479,11.45
"7",0.715000929822183,0.807710018720848,12.026
"8",0.710512966964438,0.764052032624067,11.194
"9",0.72986129940839,0.802141060761393,11.753
"10",0.733284288798773,0.774122450876044,11.221
"11",0.702320969533498,0.788284995664521,11.102
"12",0.710023596275895,0.787643223656738,11.363
"13",0.777230181110637,0.853134587955357,11.501
"14",0.727306244662818,0.806433368419205,10.887
"15",0.751535487663471,0.787046946091146,16.123
"16",0.721282886421147,0.820335394430733,12.006
"17",0.726730204189072,0.753898576888043,11.578
"18",0.725698545976272,0.827120995500355,13.197
"19",0.749649729749464,0.847308424048115,12.584
"20",0.71058044617838,0.755118552089403,12.343
"21",0.727951945190823,0.774227211994128,12.274
"22",0.766319703912277,0.818074811622979,11.449
"23",0.684416208206492,0.736104979177208,11.946
"24",0.700482114391739,0.79938827641389,12.032
"25",0.654491776381898,0.778125519091189,11.248
"26",0.760966061206347,0.821515973688121,11.533
"27",0.680015797827625,0.796121702344947,11.092
"28",0.718595111571291,0.797814872586291,11.212
"29",0.709907488998107,0.805344827138143,15.295
"30",0.611960195726256,0.658240608592267,12.441
"31",0.718842133314079,0.765338614735651,11.585
"32",0.777045587144987,0.816416727887436,12.417
"33",0.705007302037197,0.761129888647886,11.986
"34",0.689494181461627,0.744688831444624,11.467
"35",0.745558388392552,0.827129401389732,11.88
"36",0.758903846855077,0.770616505632031,11.53
"37",0.722496176554023,0.798105985544457,11.922
"38",0.733508985842063,0.761711669970778,11.38
"39",0.756714114979068,0.804070254971583,11.497
"40",0.716012394487523,0.751096500050856,11.151
"41",0.742745994617658,0.801445747991709,11.344
"42",0.711852899616606,0.762963486998463,11.738
"43",0.666543765092591,0.690801558961396,15.786
"44",0.752358581152478,0.778404904572639,12.482
"45",0.728333920219122,0.78525093562119,12.328
"46",0.666843831583805,0.806955685366837,12.185
"47",0.753385884756573,0.845295789528221,11.974
"48",0.727565748596881,0.799406599721829,11.973
"49",0.67216650735253,0.687809963213699,12.249
"50",0.675662524330232,0.730583129836478,11.042
"51",0.720052518048774,0.770843004265643,12.203
"52",0.680477136382439,0.759088629962513,11.178
"53",0.751476631528843,0.795955321218919,11.958
"54",0.715829996732193,0.762425281670709,11.408
"55",0.713235531886477,0.753155037255673,11.454
"56",0.734329659103027,0.840311403380984,10.788
"57",0.654821508230196,0.68332601308505,15.687
"58",0.714852773883417,0.777441742227134,12.06
"59",0.655272470381446,0.758052849761249,12.081
"60",0.672055711556839,0.771337127112758,13.098
"61",0.75388602927184,0.868029377689184,12.37
"62",0.749392635640298,0.803377233048493,11.627
"63",0.745105906549363,0.79290794225264,12.285
"64",0.695714000266522,0.862242068151502,12.381
"65",0.785661753869138,0.822256512636344,11.778
"66",0.742793761518912,0.772093055528684,11.388
"67",0.784279918538068,0.834349155169973,11.861
"68",0.716572907531292,0.789383836385143,12.553
"69",0.754024188285057,0.818415552087178,11.557
"70",0.718066853711547,0.800602139215526,11.356
"71",0.707844352414773,0.701226764348349,16.429
"72",0.716516462407112,0.800103674538974,12.269
"73",0.770174023317164,0.831170893264486,11.931
"74",0.69685246216964,0.829316851228209,12.703
"75",0.722524335950489,0.821253876619305,12.378
"76",0.748027339577575,0.813469090114919,11.942
"77",0.731714401454055,0.84827101375467,12.008
"78",0.66958701028253,0.80128026816097,11.568
"79",0.746477894533954,0.795470965422094,11.848
"80",0.651173362749454,0.734662227704624,11.429
"81",0.742398603382737,0.796756980604463,11.426
"82",0.738575742632792,0.80067569913952,11.451
"83",0.76606082572713,0.832551843541863,11.716
"84",0.725306903895397,0.810249512207105,11.014
"85",0.702637760647337,0.810083784949875,15.912
"86",0.71644516958737,0.728330399421864,12.227
"87",0.689786695520766,0.795172051078146,12.276
"88",0.717180115559887,0.776806699800739,13.358
"89",0.715936545234163,0.801459445628195,12.347
"90",0.709189870602237,0.747328257733447,12.389
"91",0.658529558684087,0.737050746701428,11.752
"92",0.685579982396146,0.732823509761966,11.294
"93",0.66465298753931,0.822183202848921,12.133
"94",0.761670611769717,0.812346467169344,11.475
"95",0.672190374726757,0.732072785339625,11.674
"96",0.750463631975634,0.792766060076044,10.949
"97",0.778066995246072,0.845396964710131,11.082
"98",0.749889712930661,0.816296197950527,11.108
"99",0.634543103079903,0.714855662584881,15.515
"100",0.677465221266893,0.802598650043003,12.172
"101",0.704891261185201,0.727619471208457,11.415
"102",0.709887091620187,0.778399563462536,13.023
"103",0.79739037942174,0.813501484251455,12.201
"104",0.651922444209191,0.724276592142134,11.422
"105",0.63706757504422,0.674629909751646,12.113
"106",0.748656621088598,0.854377290449116,11.492
"107",0.692008715480771,0.760077408918897,11.798
"108",0.771518113341276,0.848389950727512,11.685
"109",0.706955867474091,0.831617215452557,11.707
"110",0.741809777294654,0.812896636572657,11.765
"111",0.717359950462865,0.784654274324906,11.387
"112",0.701914218368177,0.793518188231766,11.124
"113",0.767529434027006,0.881879005076439,15.797
"114",0.752255488528079,0.819023116652388,12.56
"115",0.698780590942145,0.793579438105644,11.588
"116",0.707502218399418,0.747539835634455,12.469
"117",0.697276112504794,0.77098567517187,11.545
"118",0.696773153551877,0.745056743774639,11.686
"119",0.703367400991223,0.787451445096234,11.906
"120",0.677333733821152,0.821613566900328,12.12
"121",0.741890191678588,0.817255830173226,11.931
"122",0.730940822835102,0.751316292815607,12.402
"123",0.694653058837748,0.702586397484137,11.876
"124",0.737213447647011,0.81555936236746,11.816
"125",0.731402324273667,0.799831312805834,12.131
"126",0.771551599893909,0.809268140889481,12.054
"127",0.709817740440593,0.715007885130501,15.753
"128",0.720884466568883,0.815532219995808,12.452
"129",0.723922539258293,0.779690192496436,12.32
"130",0.698487609041793,0.730911206979528,12.768
"131",0.71671175264774,0.736671736120649,12.22
"132",0.71011612086933,0.746498878130117,11.528
"133",0.704008658298154,0.780510777617439,11.961
"134",0.760592402399734,0.804735807027193,11.66
"135",0.72115218336396,0.75020870924834,11.366
"136",0.688333175370348,0.768627095406762,12.617
"137",0.737149145358895,0.852579551476692,11.747
"138",0.694816648783051,0.750491701712525,11.563
"139",0.734591211689264,0.762586840029742,11.476
"140",0.724050820590659,0.800269740456036,11.252
"141",0.730935244924809,0.773513554848433,15.973
"142",0.666336264274833,0.696327550152439,12.022
"143",0.649343883609268,0.756816415585728,11.416
"144",0.759559032706505,0.820423356649446,12.932
"145",0.680223223710521,0.776115574704712,12.022
"146",0.721224402405384,0.74797475154338,11.803
"147",0.74536695607651,0.835885097571185,12.384
"148",0.706411627413958,0.788934484809582,11.825
"149",0.723714864772538,0.756512851202726,11.595
"150",0.680450799098269,0.724665406834634,12.238
"151",0.70364904006432,0.736231506390155,12.006
"152",0.723649167864463,0.772270898189349,12.632
"153",0.721499689972393,0.785595808098817,11.413
"154",0.732740049498532,0.774292738366697,11.061
"155",0.742065183153821,0.790105495630809,16.706
"156",0.702556293764565,0.792236217026486,12.383
"157",0.739467832255548,0.869018869998596,12.055
