"","acc","acc.RC","penG","penE","subset","comptimes"
"1",0.675107824335999,0.739536369035655,0.149510283261408,0.00671069960356381,"F1-F3-F4-F5-F6-F7-F8-F9",9.798
"2",0.705066266226648,0.746853090212814,0.13780443083856,0.00665128234480501,"F1-F2-F3-F4-F5-F6-F8-F10",6.776
"3",0.703046794913806,0.754792913486231,0.146721044388461,0.00786123516786335,"F1-F3-F4-F5-F7-F8-F10",6.045
"4",0.763169147791579,0.801822684885438,0.143794871182522,0.00687692752110658,"F1-F3-F4-F6-F7-F8-F9-F10",7.803
"5",0.695703794407167,0.747924477022396,0.143349112932363,0.00746394664287599,"F1-F2-F3-F4-F5-F6-F9",7.057
"6",0.729896663901303,0.768259876983904,0.145418215237083,0.00739769156942133,"F1-F3-F4-F5-F7-F8-F9",6.60300000000001
"7",0.679212354255468,0.778002144769171,0.138556649248685,0.00601563671326097,"F1-F3-F4-F5-F7-F8-F9-F10",8.181
"8",0.713340438324091,0.76462362715062,0.143148393398383,0.00640019581236419,"F1-F2-F3-F4-F6-F9",6.491
"9",0.681813893288845,0.749686605058608,0.140653308769309,0.00686459786643923,"F1-F2-F4-F5-F6-F7-F8-F9-F10",8.533
"10",0.695589498529436,0.729708220239949,0.138351955602214,0.00841429630479123,"F1-F3-F4-F5-F7-F8-F9",6.75800000000001
"11",0.723155221978944,0.794451756974708,0.141163378318603,0.00838231809918001,"F1-F2-F3-F4-F7-F8-F9",7.178
"12",0.663825388911463,0.731801024730729,0.138423306116219,0.00851257307873173,"F1-F2-F4-F5-F6-F7-F8-F9-F10",9.654
"13",0.745365047027855,0.810486473557293,0.138537124455158,0.00495496894337107,"F1-F2-F3-F4-F5-F6-F8",7.684
"14",0.713355448307389,0.769868046183559,0.145285183072853,0.00623253734434226,"F1-F3-F4-F5-F6-F8-F10",7.44499999999999
"15",0.720628608553008,0.745618310208035,0.139405042020999,0.00671561652667487,"F1-F3-F4-F5-F6-F7-F8-F9",7.941
"16",0.68508364056123,0.804294956470296,0.135414145468559,0.00665069252052495,"F1-F3-F4-F5-F6-F7-F8-F9-F10",8.577
"17",0.711082293874135,0.722801583044299,0.145457819948306,0.00733711740408845,"F1-F2-F3-F4-F5-F6-F7-F8-F10",8.41499999999999
"18",0.738352862779098,0.845132758829035,0.142719504847255,0.00753819285032605,"F1-F2-F3-F4-F6-F7-F8-F9-F10",9.369
"19",0.734900772377662,0.83404584524085,0.141209073624448,0.00549818364459844,"F1-F2-F4-F5-F6-F7-F8-F9",7.68600000000001
"20",0.669042577975685,0.702828054640808,0.14190149366657,0.00652020061880234,"F1-F2-F3-F4-F5-F6-F8-F9-F10",8.50699999999995
"21",0.706090066722965,0.733908131443991,0.137027857983517,0.00633585611578182,"F1-F2-F3-F4-F5-F6-F8-F9-F10",9.161
