"","acc","acc.RC","penG","penE","subset","comptimes"
"1",0.494167897148229,0.576356512940102,0.0898781680081001,0.00797257999060876,"F1-F2-F3-F5-F6",3.482
"2",0.56667190284503,0.585540157645397,0.0819017388649135,0.00746086709850784,"F3-F5-F7",1.741
"3",0.507089010201898,0.530939257702769,0.0933163352972153,0.00761167090340634,"F1-F2-F3-F5-F6",1.885
"4",0.571866313553099,0.557978980916705,0.0877789359821025,0.0073137445941805,"F2-F3-F5-F6",1.776
"5",0.51579418628166,0.561348385732211,0.0933291300662995,0.00712839108108443,"F1-F2-F3-F4-F6",1.814
"6",0.54294842831594,0.527530412753833,0.0883408476540675,0.00762266636483088,"F1-F2-F3-F4-F5-F6",2.09800000000001
"7",0.478170402118518,0.581075491330852,0.0831329593041584,0.00815701238498909,"F1-F2-F4-F5-F6",1.892
"8",0.578751411805199,0.612690344209476,0.0968056898653374,0.00699599723043998,"F1-F2-F3-F4-F5-F6",2.334
"9",0.495455584228937,0.507276940475602,0.0893383959068734,0.00866465470584399,"F2-F3-F5-F6",1.859
"10",0.541672647321902,0.543607080318709,0.0902918116015495,0.00827605659046329,"F1-F2-F4-F5-F6",1.93299999999999
"11",0.57068994870162,0.719622249057835,0.0879585877309576,0.00727155426832949,"F3-F6",1.50399999999999
"12",0.505839194823264,0.550939801476283,0.0919719273796674,0.00748700220681988,"F1-F3-F4-F5-F6",1.93799999999999
"13",0.546045639640384,0.569619476747843,0.0916856436296698,0.0077911355681279,"F2-F3-F5-F7",1.836
"14",0.495494377561308,0.47267707478528,0.096841363920798,0.00732758549995318,"F2-F3-F5-F6",1.76900000000001
"15",0.485227337223953,0.431994311486841,0.0988703473842013,0.00753493359234479,"F1-F2-F3-F4-F5-F6",2.31299999999999
"16",0.496662841850229,0.592866838820735,0.0891685609041896,0.00805684360466245,"F1-F2-F3-F5-F6",2.255
"17",0.549148553235668,0.500487485976939,0.0875339651735846,0.00723393015679262,"F1-F2-F3-F4-F5-F7",2.45
"18",0.594549838019279,0.597071209060655,0.0966686030504973,0.00855129199203529,"F1-F2-F3-F5-F6",2.12400000000001
"19",0.536730382582645,0.553446093303824,0.0906772419121016,0.0070142495395099,"F1-F2-F3-F4-F6",2.08500000000001
"20",0.572758701217426,0.622098595998374,0.0892163138513828,0.00731253718848418,"F3-F4-F5-F6",1.828
"21",0.562089831290738,0.542424104298495,0.0871446273073908,0.00773127624345756,"F1-F2-F3-F4-F5",2.208
