"","X","acc","comptimes","archs"
"1",1,0.216254770893299,61.5,"multiMLP_L8_N64_D0.1_CV2"
"2",2,0.255939451599331,60.4699999999975,"multiMLP_L8_N64_D0.1_CV2"
"3",3,0.215117862831418,65.0400000000009,"multiMLP_L8_N64_D0.1_CV2"
"4",4,0.241422888588416,65.2099999999991,"multiMLP_L8_N64_D0.1_CV2"
"5",5,0.27006214068183,61.5300000000025,"multiMLP_L8_N64_D0.1_CV2"
"6",6,0.0675623985697314,59.1699999999983,"multiMLP_L8_N64_D0.1_CV2"
"7",7,0.246798949066804,62.9099999999999,"multiMLP_L8_N64_D0.1_CV2"
"8",8,0.0675025337800421,63.3199999999997,"multiMLP_L8_N64_D0.1_CV2"
"9",9,0.173830273806676,61.3199999999997,"multiMLP_L8_N64_D0.1_CV2"
"10",10,0.229975492930398,62.1899999999987,"multiMLP_L8_N64_D0.1_CV2"
"11",1,0.172573279222066,62.2000000000007,"multiMLP_L4_N64_D0.1_CV2"
"12",2,0.223384787146428,64.7299999999996,"multiMLP_L4_N64_D0.3_CV2"
"13",3,0.0909058455632201,60.7599999999984,"multiMLP_L8_N64_D0.1_CV2"
"14",4,0.153834136511655,60.0800000000017,"multiMLP_L8_N64_D0.1_CV2"
"15",5,0.0719855135227107,61.2700000000004,"multiMLP_L8_N64_D0.1_CV2"
"16",6,0.154484020540342,59.4599999999991,"multiMLP_L8_N64_D0.1_CV2"
"17",7,0.0586117909354903,60.8199999999997,"multiMLP_L8_N64_D0.1_CV2"
"18",8,0.266413529491459,61.4599999999991,"multiMLP_L8_N64_D0.1_CV2"
"19",9,0.295888438463184,61.5,"multiMLP_L8_N64_D0.1_CV2"
"20",10,0.276524741553795,59.3400000000001,"multiMLP_L8_N64_D0.1_CV2"
