"","X","acc","comptimes"
"1",1,0.612233195772227,591.225000000002
"2",2,0.554736748291084,586.017
"3",3,0.608616583170258,583.945
"4",4,0.574837034271698,585.695
"5",1,0.509396813757796,592.846999999998
"6",2,0.457759005771594,586.154000000002
"7",3,0.660069184042258,585.896999999997
"8",4,0.52532016400216,584.614000000001
"9",1,0.540228691319573,564.467000000001
"10",2,0.624047211094033,571.508000000002
"11",3,0.597362284220297,569.289000000001
"12",4,0.564526311658366,571.017
"13",1,0.545841196525208,565.146000000001
"14",2,0.462664421611973,570.168000000001
"15",3,0.557241159898739,572.431
"16",4,0.543490175957666,572.865999999998
"17",1,0.647655486432533,575.319
"18",2,0.607759406682641,564.829000000002
"19",3,0.571547119110632,568.656999999999
"20",4,0.575049036383207,571.922999999999
