"","X","acc","comptimes"
"1",1,0.495214992621854,366.365000000002
"2",2,0.515724654216503,369.958999999999
"3",3,0.352376572622361,377.860999999997
"4",4,0.543524601148638,372.848999999998
"5",1,0.49709523502601,381.698
"6",2,0.456747223941952,376.695
"7",3,0.641725682981499,375.459999999999
"8",4,0.497322872664185,376.362000000001
"9",1,0.586606110966476,368.381000000001
"10",2,0.550213943494982,368.613000000001
"11",3,0.645356917179757,372.888999999999
"12",4,0.531081509536668,369.909
"13",1,0.520408873381232,374.052
"14",2,0.495257993795131,381.949000000001
"15",3,0.402056287288174,373.500999999997
"16",4,0.503974383504993,374.151999999998
"17",1,0.434566347361246,332.325000000001
"18",2,0.517433212086568,323.829999999998
"19",3,0.53044766080691,324.062999999998
"20",4,0.572687859217796,331.210999999999
