"","X","acc","comptimes"
"1",1,0.74669014875192,462.885999999999
"2",2,0.847596066090413,448.695999999996
"3",3,0.772161436890043,1689.89600000001
"4",4,0.824602461146652,460.879999999976
"5",1,0.814974771139622,472.140999999974
"6",2,0.724560025182249,464.25
"7",3,0.84821190186621,467.004000000015
"8",4,0.815019656343341,463.593999999983
"9",1,0.854738873681808,476.739999999991
"10",2,0.824808844610545,1855.33499999999
"11",3,0.848857062062977,468.392000000022
"12",4,0.833945649735209,467.303999999975
"13",1,0.800155253551858,476.505999999994
"14",2,0.807001112731015,471.953000000009
"15",3,0.754633519506686,473.133999999991
"16",4,0.82721653230381,470.433999999979
"17",1,0.75092564587505,415.142999999996
"18",2,0.841294363602972,412.343999999997
"19",3,0.839089863551511,412.614999999991
"20",4,0.843529837960668,413.021999999997
