"","acc","acc.RC","penG","penE","subset","comptimes"
"1",0.470463763868779,0.550516264183543,0.00171807301515049,2.86080833225065e-07,"F1-F3-F4-F5-F6",3.57
"2",0.51734064900671,0.487563849453518,0.00161086303931969,1.53808083051748e-07,"F1-F2-F3-F5",1.835
"3",0.486478299084099,0.495202269607571,0.0013927459191468,2.18613812763975e-07,"F1-F3-F4-F5-F6",1.856
"4",0.536902933616623,0.507455247769246,0.00170964993582536,4.15679042072141e-07,"F2-F3-F4-F5-F6",1.882
"5",0.440157046657602,0.454947483192758,0.00162120889988473,3.90620059016482e-07,"F2-F3-F4-F5-F6",1.723
"6",0.509759176542824,0.48544119634647,0.00161919751110472,3.32187397540914e-07,"F3-F4-F5",1.404
"7",0.457538709088602,0.509210041153335,0.00175472015288439,4.74950132745785e-07,"F1-F2-F4-F5",1.7
"8",0.543768642330867,0.56299445698862,0.00189735510939796,3.76107997574339e-07,"F1-F2-F4-F5-F6",1.872
"9",0.487976264596704,0.481009895919486,0.00178900353490589,2.00336045524121e-07,"F1-F2-F3-F4-F5-F6",2.234
"10",0.492676198925262,0.470834566714313,0.00146234743744963,4.58146481261237e-07,"F1-F2-F4-F5-F6",1.879
"11",0.556497843284136,0.732093179460212,0.00186441209725607,3.45140724173562e-07,"F3-F5",1.44
"12",0.475008188962683,0.496878987965613,0.00195017050879115,3.20911357162843e-07,"F2-F4-F5-F6",1.64999999999999
"13",0.492340491097789,0.479920152278247,0.00173312543477506,3.27220338859653e-07,"F1-F2-F4-F5",1.723
"14",0.459896158057251,0.418056651915619,0.00175661540321524,7.28317968134009e-07,"F1-F2-F4-F6",1.81099999999999
"15",0.483886782905598,0.421721613308285,0.00194104351501994,3.04577983090132e-07,"F2-F3-F4-F5-F6",2.10599999999999
"16",0.447203232910614,0.539028391836187,0.00149061730673124,3.3817234994557e-07,"F1-F2-F3-F5-F6",2.01900000000001
"17",0.521801277493712,0.452149380143486,0.00182759104887514,3.6784047152276e-07,"F3-F4-F5-F6",1.64700000000001
"18",0.544607685261407,0.506272824364574,0.00202449064210128,1.54869573306235e-07,"F2-F3-F4-F5-F6",2.039
"19",0.508964903027744,0.509596484233904,0.00222729825582066,6.99416657110966e-07,"F4-F5-F6",1.70000000000002
"20",0.525932399225407,0.576672669917387,0.00175135040715467,2.19979308038194e-07,"F1-F3-F5-F6",1.73599999999999
"21",0.515220353616608,0.462023814417684,0.00166531106055692,3.82301504371963e-07,"F2-F3-F4-F5-F6",1.89100000000002
"22",0.539243425126845,0.488690156824486,0.00170297843034125,2.05303102314658e-07,"F2-F4-F5-F6",1.685
"23",0.426367837657039,0.44419964371543,0.0015953277958069,4.86306223665154e-07,"F1-F2-F4-F5-F6",1.95100000000002
"24",0.389011922689766,0.478425696785087,0.00173381064272433,4.27237877099995e-07,"F1-F2-F3-F4-F5",2.09
