"","acc","comptimes"
"1",0.385212329355826,4.613
"2",0.227629374386755,1.848
"3",0.35294235895187,2.455
"4",0.279136311691977,1.965
"5",0.297879717788794,2.03
"6",0.287494350657871,2.117
"7",0.324769924319479,2.174
"8",0.292505212109184,2.3
"9",0.354237334928707,2.557
"10",0.366044765275391,2.769
"11",0.250370038887805,2.49
"12",0.340357489895825,2.247
"13",0.271216197206961,2.194
"14",0.258860685856854,2.326
"15",0.367044970904203,4.723
"16",0.22728638402309,2.344
"17",0.363549757323881,2.13
"18",0.332616416396192,2.011
"19",0.376587835343567,2.109
"20",0.198317712911843,1.987
"21",0.379483219380649,1.884
"22",0.399149281279913,2.334
"23",0.290951000942733,2.707
"24",0.177818058442452,2.846
"25",0.364340537917936,2.472
"26",0.381309235852681,2.35
"27",0.277104039145767,2.569
"28",0.375389824385284,1.88
"29",0.385450115279814,4.245
"30",0.386087362552134,1.888
"31",0.331034750563685,2.482
"32",0.417153386034305,1.953
"33",0.41043657208958,2.106
"34",0.27806403414373,2.12
"35",0.218833813249257,2.007
"36",0.351078164044799,2.204
"37",0.432411626247154,2.281
"38",0.169416277311127,2.983
"39",0.342467694600237,2.456
"40",0.411406449308605,2.34
"41",0.432221322071294,2.442
"42",0.468252038670251,2.305
"43",0.316440442689112,3.91
"44",0.353570262267154,1.962
"45",0.431840504888852,2.126
"46",0.260369815214762,2.246
"47",0.299595412129434,2.179
"48",0.257549228856232,2.208
"49",0.470744726886482,2.166
"50",0.226779605245642,2.278
"51",0.307477483579971,2.73
"52",0.317014667642816,2.576
"53",0.287677712847549,2.444
"54",0.380874122716528,2.54
"55",0.386663497145108,2.192
"56",0.408819636572364,2.454
"57",0.350248363275949,4.241
"58",0.245599977833831,2.496
"59",0.376502943649533,2.264
"60",0.267029491134212,2.194
"61",0.387095829035332,2.195
"62",0.278637945878318,2.229
"63",0.26976219924144,2.101
"64",0.379003321373272,2.544
"65",0.211046548031135,2.756
"66",0.366838740141344,2.741
"67",0.339721511181935,2.315
"68",0.320137035954753,2.571
"69",0.323545127687897,2.24
"70",0.314644077291612,1.719
"71",0.242991186016543,4.347
"72",0.359942992239797,2.144
"73",0.360018520398782,2.179
"74",0.30457403409227,2.075
"75",0.35279340537329,1.879
"76",0.278953306801652,2.08
"77",0.320323134096853,2.161
"78",0.298873729292431,2.4
"79",0.237745380060553,2.657
"80",0.267714092477819,2.776
"81",0.18645244461911,2.615
"82",0.298601670044747,2.513
"83",0.255573322585304,2.166
"84",0.399674196599395,2.362
"85",0.364944747256648,4.279
"86",0.269491246966691,2.105
"87",0.404142984081766,2.094
"88",0.375341657861358,2.208
"89",0.326209525307446,2.237
"90",0.312435949588051,2.441
"91",0.274940352675559,1.932
"92",0.296898753090532,2.291
"93",0.224477699802529,2.713
"94",0.282559279801363,2.839
"95",0.406495651636124,2.436
"96",0.36769214726775,2.462
"97",0.220511535398305,2.407
"98",0.302242938056685,1.996
"99",0.427273516484906,4.596
"100",0.247188056996384,2.216
"101",0.134347144656491,2.107
"102",0.328991580896057,2.066
"103",0.373225968806086,2.291
"104",0.392122992916167,1.945
"105",0.252300318683549,2.304
"106",0.329291166281237,2.546
"107",0.317149754032637,2.507
"108",0.320722362139853,2.598
"109",0.299840112973714,2.165
"110",0.340755964449493,2.483
"111",0.319244600838919,2.213
"112",0.282688374889662,2.249
"113",0.275774332501926,4.731
"114",0.347648208192066,1.852
"115",0.362479170626473,2.407
"116",0.24656461388276,2.203
"117",0.459894643230916,2.36
"118",0.442525086069554,2.087
"119",0.284223262164018,2.224
"120",0.364468228607322,2.61
"121",0.28099205263362,2.614
"122",0.316214529291275,2.529
"123",0.303081284378426,2.353
"124",0.269559923321194,2.355
"125",0.39499197429296,2.089
"126",0.288827723203067,2.043
"127",0.340795413375976,4.348
"128",0.295464945858626,1.829
"129",0.373296314979963,2.279
"130",0.314102486665248,1.951
"131",0.208068993233125,2.432
"132",0.361427559980878,2.079
"133",0.306773972440764,2.054
"134",0.375603606717448,2.074
"135",0.247673119606152,2.652
"136",0.313309947766801,2.851
"137",0.303507754830484,2.611
"138",0.274663557206606,2.177
"139",0.40309284274534,2.237
"140",0.253183651811381,2.328
"141",0.362698588860479,4.016
"142",0.338984007167393,2.172
"143",0.220664917422903,1.929
"144",0.368622294116033,2.083
"145",0.426382996833536,2.19
"146",0.308684628720107,2.213
"147",0.380194993692408,2.293
"148",0.269291871031712,2.24
"149",0.291037246953023,2.465
"150",0.332864007123777,2.613
"151",0.32963012832898,2.676
"152",0.302837586312846,2.472
"153",0.336378707025898,2.065
"154",0.478837828137871,2.476
"155",0.297562338448382,4.221
"156",0.255406091224235,2.509
"157",0.31821790309946,2.188
"158",0.131728920825021,2.244
"159",0.393937507198601,2.199
"160",0.244790334117152,2.031
"161",0.293284238965751,2.25
"162",0.25871728877529,2.415
"163",0.295378879650852,2.637
"164",0.404696165439075,2.571
"165",0.283021755686345,2.509
"166",0.356942646740171,2.222
"167",0.314630237315192,2.386
"168",0.306219994201621,1.879
"169",0.322982697599658,4.657
"170",0.240366481416745,2.317
"171",0.435133934260135,2.121
"172",0.447957333232161,2.173
"173",0.242869195847487,2.134
"174",0.346712494260268,2.121
"175",0.387316007851115,1.912
"176",0.430784746951469,2.352
"177",0.313158754075463,2.479
"178",0.263424355695988,2.698
"179",0.276869076528567,2.217
"180",0.174131013380399,2.565
"181",0.374976471011847,2.161
"182",0.358061581496614,2.384
"183",0.308652867177466,4.619
"184",0.370499534418251,2.225
"185",0.350244298342639,2.074
"186",0.309332695703318,1.946
"187",0.16105094273699,2.186
"188",0.390730473634085,2.021
"189",0.294773696956962,1.907
"190",0.287900246534182,2.094
"191",0.286038292610959,2.465
"192",0.347856657387804,2.546
"193",0.353534218275309,2.703
"194",0.292646299034242,2.324
"195",0.341594265383921,2.185
"196",0.238937152099091,2.281
"197",0.455000939964248,4.13
"198",0.257315322824509,2.133
"199",0.107050476013396,2.143
"200",0.338277431252008,2.131
"201",0.220728161682588,2.279
"202",0.26368817312711,2.151
"203",0.338824314494148,2.088
"204",0.314017707637212,2.237
"205",0.370484594152421,2.5
"206",0.325203484297129,2.574
"207",0.31169209850826,2.765
"208",0.375477070112189,2.4
"209",0.340405152406536,2.202
"210",0.348913608257867,2.338
"211",0.338266685456472,4.703
"212",0.291125050044713,2.135
"213",0.347376978399199,2.141
"214",0.335894176189929,2.131
"215",0.2877854740124,2.113
"216",0.326218438236021,1.911
"217",0.357494792008957,1.837
"218",0.219621785642258,2.038
"219",0.310684593853991,2.663
"220",0.281066592165996,2.558
"221",0.31757623448712,2.45
"222",0.266120625752188,2.298
"223",0.292539609230899,2.387
"224",0.343050735526251,2.268
"225",0.231935128095153,4.307
"226",0.293881169673966,1.958
"227",0.283391643014371,2.305
"228",0.221994653830084,1.788
"229",0.387639980867182,2.185
"230",0.357066124228371,2.095
"231",0.356304224237998,2.294
"232",0.272880724303376,2.25
"233",0.133083430319075,3.033
"234",0.28258364413115,2.889
"235",0.284646741514903,2.194
"236",0.299322553240897,2.582
"237",0.256941725574027,2.297
"238",0.340471705094811,2.066
"239",0.267926732964802,4.517
"240",0.213677126910291,2.132
"241",0.350261979509372,1.787
"242",0.345577298636976,2.376
"243",0.303123455067534,2.03
"244",0.275506374497922,2.127
