"","acc","penG","penE","subset","comptimes"
"1",0.385644572930766,0.00307684712510182,6.47409586147421e-09,"F1-F2",2.653
"2",0.229783543542775,0.0030323377429354,6.47409586147421e-09,"F1-F3",1.446
"3",0.348668172876883,0.00275455560226925,6.47409586147421e-09,"F1-F2-F3-F4",1.731
"4",0.279277288415569,0.00271590032584489,1.85121691873053e-08,"F1-F2-F3-F4",1.473
"5",0.298503368854409,0.00266263437163973,6.47409586147421e-09,"F1-F2-F3-F4",1.257
"6",0.286122728560134,0.0047000470310148,2.34792231944407e-08,"F1-F2",1.192
"7",0.326165077778115,0.00322260171637105,6.47409586147421e-09,"F1-F2-F3",1.403
"8",0.292374995484896,0.00348143471735502,6.47409586147421e-09,"F1-F2-F3",1.282
"9",0.355456592108995,0.0035408592653683,6.47409586147421e-09,"F1-F2-F4",1.75
"10",0.365974144945391,0.00248611207899615,2.34792231944407e-08,"F1-F3",1.294
"11",0.250249095862365,0.00339115338588045,6.47409586147421e-09,"F1-F3",1.243
"12",0.343517557582932,0.00386617373586115,6.47409586147421e-09,"F1-F3-F4",1.38900000000001
"13",0.270731019606649,0.0028382744538899,1.85121691873053e-08,"F1-F3",1.59999999999999
"14",0.26111957964754,0.00295996746485702,6.47409586147421e-09,"F1-F3",1.62400000000001
"15",0.368728319193866,0.00277446359360254,1.14411497632432e-08,"F1-F3",1.53800000000001
"16",0.225084640276567,0.00351455194417952,6.47409586147421e-09,"F1-F2-F4",1.477
"17",0.36230560435204,0.00367774244008785,6.47409586147421e-09,"F1-F2-F3",1.434
"18",0.332529066637562,0.00393458948525313,6.47409586147421e-09,"F1-F3-F4",1.488
"19",0.378754456494055,0.00384493041429807,6.47409586147421e-09,"F1-F2-F3",1.54599999999999
"20",0.196636455297141,0.00434648270315428,6.47409586147421e-09,"F1-F2-F3",1.55
"21",0.376866927951048,0.00349551895647375,1.14411497632432e-08,"F3",1.285
