"","acc","acc.RC","comptimes"
"1",0.333964029389827,0.353765358739745,5.618
"2",0.151512011902269,0.112415714399222,3.029
"3",0.127188404336997,0.127213418357374,2.421
"4",0.0817945363572825,0.0975412294358513,2.364
"5",0.286791691765754,0.284318365175972,2.568
"6",0.139377234172929,0.183024266230249,2.414
"7",0.2307805515331,0.219632382298868,3.348
"8",0.280887267317218,0.289179812623415,3.226
"9",0.148266604174475,0.171239719263113,2.88400000000001
"10",0.299577973084921,0.311016789777281,2.97800000000001
"11",0.270570814057218,0.199977943749396,3.49600000000001
"12",0.345025053829131,0.322173089980054,2.749
"13",0.0566656904941574,0.0684083009842592,2.696
"14",0.203558756171831,0.240349408706626,3.12699999999998
"15",0.22568419658077,0.221686099945728,5.708
"16",0.263159506471706,0.247893804406314,2.906
"17",0.160040202172353,0.112346557616036,2.496
"18",0.162126172517147,0.194370792171806,2.637
"19",0.162157748701807,0.177009349171375,2.28
"20",0.445689407337684,0.439688598437136,2.86999999999999
"21",0.234139953487052,0.208585836443283,2.90900000000001
"22",0.279913486909516,0.282258138329243,3.16600000000001
"23",0.294426710175029,0.288934170282668,2.607
"24",0.253337293775471,0.24758990999565,2.70500000000001
"25",0.251692866345552,0.264595672001026,3.80600000000001
"26",0.108969684065887,0.0694747076808094,2.60599999999999
"27",0.264721393295137,0.219723732775172,2.446
"28",0.230134590597121,0.227829430827106,2.5
"29",0.193754068203228,0.188789803396756,5.234
"30",0.281209049181666,0.25720390759168,3.041
"31",0.262187098083265,0.260099966111355,2.447
"32",0.242476278371652,0.293870011975502,2.823
"33",0.0967656635522754,0.121697482411067,2.268
"34",0.19764204720399,0.177555273872317,2.598
"35",0.282071100103914,0.20398633105174,2.864
"36",0.251009801517179,0.276953776258861,3.04899999999999
"37",0.282549882599586,0.272092089046931,2.89099999999999
"38",0.0837104899389224,0.0812380150451716,2.87
"39",0.333825805503644,0.376874272189424,3.029
"40",0.139612896227852,0.105441606428324,2.72499999999999
"41",0.343047320361793,0.346226637116279,2.50900000000001
"42",0.211249418527801,0.193545933226434,2.64299999999997
"43",0.295044558419373,0.202114117659606,5.509
"44",0.16791598531978,0.199563799450821,3.161
"45",0.316865571206097,0.362959057265874,2.733
"46",0.244948061643084,0.250394659279571,2.733
"47",0.237931581566601,0.261616746943858,2.318
"48",0.276447105411452,0.220131198151372,2.48299999999999
"49",0.130754648776048,0.159663439759845,3.38500000000001
"50",0.203479310807681,0.224574089492445,2.935
"51",0.205294611771714,0.237617023232313,2.61000000000001
"52",0.384171929353202,0.3383907108155,2.78299999999999
"53",0.104513718271914,0.127821898587437,2.87100000000001
"54",0.267399166781906,0.228274611431079,2.43000000000001
"55",0.256792361989697,0.26394347415104,2.62699999999998
"56",0.273026806379206,0.259920829315893,2.31900000000002
"57",0.148819992941963,0.12676760391593,5.246
"58",0.29497738221623,0.347662132961204,3.33
"59",0.384569460680806,0.50585228769112,2.583
"60",0.424778112155631,0.383515294064201,2.57
"61",0.197291396949432,0.22285247138699,2.574
"62",0.081593874498524,0.0653100948288845,2.66800000000001
"63",0.0762900275004774,0.0958315450559911,2.902
"64",0.110093160673097,0.105069081848764,3.02
"65",0.179907910524031,0.252464176264037,3.01300000000001
"66",0.202855346963863,0.231054282216369,2.786
"67",0.157599800723752,0.215820304790367,2.833
"68",0.173041245022327,0.115530439760237,2.87
"69",0.308736358995748,0.306001670067476,2.53
"70",0.162306770014434,0.152402926521209,2.45699999999999
"71",0.106248238109939,0.0809669855031779,5.183
"72",0.256940602419087,0.264034032142433,3.201
"73",0.281493390276726,0.248566801300436,2.571
"74",0.284456086109536,0.221255586106307,2.656
"75",0.343385994005139,0.314335022157621,2.68899999999999
"76",0.176315288798969,0.215081543474147,2.791
"77",0.382214106477384,0.380180260049608,2.84099999999999
"78",0.317118068823867,0.259458972398997,2.80199999999999
"79",0.225573236890564,0.197985998652828,2.57700000000003
"80",0.28112585245155,0.251852732383812,2.89400000000001
"81",0.226839334028907,0.245715458194953,2.87
"82",0.330104574270444,0.33823333351826,2.59100000000001
"83",0.374468788657431,0.334616057855657,2.63499999999999
"84",0.201976937016269,0.203956017445576,2.80500000000001
"85",0.0978576879884098,0.0806067070596256,5.463
"86",0.245684106086196,0.266492808486436,3.133
"87",0.0518121283024858,0.0458599906453608,2.784
"88",0.254278933789585,0.294178116475236,2.58000000000001
"89",0.179810244813334,0.128446707490647,2.685
"90",0.194272403243553,0.226909966184509,2.66399999999999
"91",0.227440246726575,0.197105383835601,3.361
"92",0.243768241630925,0.218119361746746,3.14399999999999
"93",0.208807435415504,0.193740723181225,3.00800000000001
"94",0.0901608738230661,0.125085135344828,2.71800000000002
"95",0.29628638520296,0.327314002573724,2.71799999999999
"96",0.0951796672893756,0.122863054401511,2.78800000000001
"97",0.149402765360095,0.107108053194636,2.38299999999998
"98",0.155724285481006,0.135331218431454,2.411
"99",0.328717827396363,0.243011825177217,5.659
"100",0.139318666688466,0.109238415770506,3.026
"101",0.258923167448981,0.235241240095232,2.386
"102",0.410606600714694,0.383167127258006,2.559
"103",0.0852737236577056,0.0949664133316652,2.274
"104",0.286606290184336,0.204641769564278,2.843
"105",0.31135999115741,0.27029819411589,2.72
"106",0.0933974458587325,0.0772678572161949,3.20400000000001
"107",0.153198532573896,0.164168049484934,2.64700000000002
"108",0.215180803160579,0.203244196525633,3.071
"109",0.185403831599527,0.166643039924512,3.05199999999999
"110",0.177932244837222,0.236513518307259,2.84399999999999
"111",0.269444333346264,0.204122141883347,2.84900000000002
"112",0.0515028115122215,0.0706531956320991,2.38499999999999
"113",0.301060420497425,0.303028491942787,5.423
"114",0.124626402754773,0.100945502973325,3.044
"115",0.236970965432017,0.21878283605582,2.581
"116",0.22073645575616,0.182387184135374,2.435
"117",0.148887679963184,0.0979227544098512,2.514
"118",0.30374797801968,0.372400069732304,2.81
"119",0.276712568589311,0.278388760588997,2.77200000000001
"120",0.200935230057213,0.196999627778085,3.044
"121",0.0517239622400967,0.0358509897199143,2.94
"122",0.153538473687172,0.14575398147552,3.10400000000001
"123",0.2138936232631,0.266803138768799,2.84100000000001
"124",0.398161383265248,0.345197712678494,2.71100000000001
"125",0.378701882404573,0.395439659234973,2.66500000000002
"126",0.00280623284396398,-0.00824801738146873,2.386
"127",0.169608874407793,0.211312864525562,5.544
"128",0.187628861063102,0.207110023397706,2.693
"129",0.136276983277644,0.161986080426911,2.65
"130",0.148137177354471,0.124272801029862,2.509
"131",0.177004077158946,0.18711559255389,2.39100000000001
